key,0,1,2,3,4
#,EnableDisableRestart,Resume,EnablePassEnd,ForceAutoReset,IgnoreBattle
offset,0,0,0,0,0
Int32,PackedBool0,PackedBool1,PackedBool2,PackedBool3,PackedBool4
0,False,True,False,False,False
1,False,True,False,False,False
2,False,False,False,False,False
3,False,False,False,False,False
4,False,True,False,True,False
5,False,True,False,True,False
6,False,True,False,True,False
7,False,True,False,True,False
8,False,True,False,True,False
9,True,False,False,True,False
10,True,False,True,True,True
11,True,False,True,True,True
