key,0,1,2,3,4,5,6,7,8,9,10
#,BNPC,Near,Far,Angle,Bullet,,,Action0,Action1,Action2,Action3
offset,0,15,16,2,12,13,14,4,6,8,10
int32,UInt16,Int8,Int8,UInt16,UInt8,UInt8,UInt8,UInt16,UInt16,UInt16,UInt16
0,0,0,0,0,0,0,0,0,0,0,0
1,1029,0,40,90,1,0,0,1134,0,0,1773
2,1885,0,40,90,1,0,0,1437,0,0,1773
3,1950,0,40,360,2,0,0,1437,0,0,1773
4,2996,10,30,150,1,1,0,2237,2238,0,1773
5,3110,3,30,90,1,0,0,2630,0,0,1773
6,3637,10,60,150,1,5,6,3377,3378,3379,1773
7,6828,0,40,360,1,0,0,7962,0,0,3201
8,9225,0,40,120,1,0,0,12257,0,0,1773
9,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0
