key,0,1,2,3,4,5,6,7,8,9,10
#,Icon,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,Name,Description
offset,24,0,16,4,17,18,19,20,21,8,12
int32,UInt32,String,Int8,String,Int8,Int8,Int8,Int8,Int8,String,String
0,0,"",0,"",0,0,1,0,0,"",""
1,27961,"",0,"",0,0,1,0,0,"聚魔装备（武器·盾）","令以太化为武器的聚魔装备，角尊艾·乌纳制作"
2,27962,"",0,"",0,0,1,0,0,"聚魔装备（防具）","令以太化为防具的聚魔装备，角尊艾·乌纳制作"
3,27961,"",0,"",0,0,1,0,0,"聚魔装备（武器·盾）","令以太化为武器的聚魔装备，运用古代秘术制作"
4,27962,"",0,"",0,0,1,0,0,"聚魔装备（防具）","令以太化为武器的聚魔装备，运用古代秘术制作"
5,27961,"",0,"",0,0,1,0,0,"聚魔装备（武器·盾）","令以太化为武器的聚魔装备，大魔法师诺亚制作"
6,27962,"",0,"",0,0,1,0,0,"聚魔装备（防具）","令以太化为防具的聚魔装备，大魔法师诺亚制作"
7,27961,"",0,"",0,0,1,0,0,"聚魔装备（武器·盾）","令以太化为武器的聚魔装备，光耀教会制作，专门用于祭礼。"
8,27962,"",0,"",0,0,1,0,0,"聚魔装备（防具）","令以太化为防具的聚魔装备，光耀教会制作，专门用于祭礼。"
