key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
#,IndividualWeatherData[0].Weather,IndividualWeatherData[1].Weather,IndividualWeatherData[2].Weather,IndividualWeatherData[3].Weather,IndividualWeatherData[4].Weather,IndividualWeatherData[5].Weather,IndividualWeatherData[6].Weather,IndividualWeatherData[0].Unknown1,IndividualWeatherData[1].Unknown1,IndividualWeatherData[2].Unknown1,IndividualWeatherData[3].Unknown1,IndividualWeatherData[4].Unknown1,IndividualWeatherData[5].Unknown1,IndividualWeatherData[6].Unknown1,IndividualWeatherData[0].Quest,IndividualWeatherData[1].Quest,IndividualWeatherData[2].Quest,IndividualWeatherData[3].Quest,IndividualWeatherData[4].Quest,IndividualWeatherData[5].Quest,IndividualWeatherData[6].Quest,IndividualWeatherData[0].Unknown0,IndividualWeatherData[1].Unknown0,IndividualWeatherData[2].Unknown0,IndividualWeatherData[3].Unknown0,IndividualWeatherData[4].Unknown0,IndividualWeatherData[5].Unknown0,IndividualWeatherData[6].Unknown0
offset,8,20,32,44,56,68,80,9,21,33,45,57,69,81,0,12,24,36,48,60,72,4,16,28,40,52,64,76
int32,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,118,0,118,0,137,0,0,1,3,2,3,3,3,0,0,68836,69179,69190,69313,69314,0,0,5,0,11,3,3,0
2,118,0,137,0,0,0,0,1,3,3,3,0,0,0,0,69190,69313,69314,0,0,0,0,11,3,3,0,0,0
3,118,0,118,0,137,0,0,1,3,2,3,3,3,0,0,69157,69179,69190,69313,69314,0,0,3,0,11,3,3,0
4,129,118,0,118,0,137,0,1,3,3,2,3,3,3,0,68846,68856,69179,69190,69313,69314,0,4,3,0,11,3,3
5,118,0,118,0,137,0,0,1,3,2,3,3,3,0,0,68876,69179,69190,69313,69314,0,0,3,0,11,3,3,0
6,118,0,137,0,0,0,0,1,3,3,3,0,0,0,0,69190,69313,69314,0,0,0,0,11,3,3,0,0,0
7,0,7,0,0,0,0,0,3,2,2,0,0,0,0,0,69325,69327,0,0,0,0,0,0,0,0,0,0,0
8,0,150,0,0,0,0,0,3,3,3,0,0,0,0,0,69945,70000,0,0,0,0,0,2,7,0,0,0,0
9,0,150,0,0,0,0,0,3,3,3,0,0,0,0,0,69945,70000,0,0,0,0,0,2,7,0,0,0,0
10,0,150,0,0,0,0,0,3,3,3,0,0,0,0,0,69975,70000,0,0,0,0,0,1,7,0,0,0,0
11,187,0,0,0,0,0,0,1,3,0,0,0,0,0,0,70495,0,0,0,0,0,0,255,0,0,0,0,0
12,0,188,0,0,0,0,0,3,3,3,0,0,0,0,0,70455,70478,0,0,0,0,0,255,1,0,0,0,0
13,0,188,0,0,0,0,0,3,3,3,0,0,0,0,0,70459,70478,0,0,0,0,0,2,1,0,0,0,0
