key,0,1,2,3,4
#,Instance,Item,,,
int32,InstanceContent,Item,byte,byte,byte
0,"InstanceContent#78","稀少庆典神典石2023",8,0,0
1,"InstanceContent#80","稀少庆典神典石2023",8,0,0
2,"InstanceContent#83","稀少庆典神典石2023",8,0,0
3,"InstanceContent#82","稀少庆典神典石2023",8,0,0
4,"InstanceContent#81","稀少庆典神典石2023",8,0,0
5,"InstanceContent#84","稀少庆典神典石2023",8,0,0
6,"InstanceContent#30001","稀少庆典神典石2023",6,0,0
7,"InstanceContent#30011","稀少庆典神典石2023",6,0,0
8,"InstanceContent#30020","稀少庆典神典石2023",6,0,0
9,"InstanceContent#30029","稀少庆典神典石2023",6,0,0
10,"InstanceContent#30038","稀少庆典神典石2023",10,0,0
11,"InstanceContent#30047","稀少庆典神典石2023",14,0,0
12,"InstanceContent#30058","稀少庆典神典石2023",10,0,0
13,"InstanceContent#30068","稀少庆典神典石2023",12,0,0
14,"InstanceContent#30077","稀少庆典神典石2023",14,0,0
15,"InstanceContent#30087","稀少庆典神典石2023",10,0,0
16,"InstanceContent#30096","稀少庆典神典石2023",12,0,0
17,"InstanceContent#30105","稀少庆典神典石2023",14,0,0
18,"InstanceContent#30115","稀少庆典神典石2023",12,0,0
19,"InstanceContent#30125","稀少庆典神典石2023",14,0,0
20,"InstanceContent#30111","稀少庆典神典石2023",3,0,0
21,"InstanceContent#30113","稀少庆典神典石2023",3,0,0
22,"InstanceContent#30109","稀少庆典神典石2023",3,0,0
23,"InstanceContent#30107","稀少庆典神典石2023",3,0,0
24,"InstanceContent#30116","稀少庆典神典石2023",3,0,0
25,"InstanceContent#30120","稀少庆典神典石2023",3,0,0
26,"InstanceContent#30118","稀少庆典神典石2023",3,0,0
27,"InstanceContent#30122","稀少庆典神典石2023",3,0,0
28,"InstanceContent#30126","稀少庆典神典石2023",4,0,0
29,"InstanceContent#30128","稀少庆典神典石2023",4,0,0
30,"InstanceContent#30130","稀少庆典神典石2023",4,0,0
31,"InstanceContent#30132","稀少庆典神典石2023",4,0,0
32,"InstanceContent#64007","稀少庆典神典石2023",8,0,0
33,"InstanceContent#15","稀少庆典神典石2023",8,0,0
34,"InstanceContent#86","稀少庆典神典石2023",14,0,0
35,"InstanceContent#20082","稀少庆典神典石2023",6,0,0
36,"InstanceContent#50004","稀少庆典神典石2023",10,6,6
37,"InstanceContent#50005","稀少庆典神典石2023",10,6,6
38,"InstanceContent#50006","稀少庆典神典石2023",10,6,6
39,"InstanceContent#51002","稀少庆典神典石2023",10,6,6
40,"InstanceContent#0","",0,0,0
