key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133
#,Name,LotteryExchangeParams[0].ItemAccepted,LotteryExchangeParams[1].ItemAccepted,LotteryExchangeParams[2].ItemAccepted,LotteryExchangeParams[3].ItemAccepted,LotteryExchangeParams[4].ItemAccepted,LotteryExchangeParams[5].ItemAccepted,LotteryExchangeParams[6].ItemAccepted,LotteryExchangeParams[7].ItemAccepted,LotteryExchangeParams[8].ItemAccepted,LotteryExchangeParams[9].ItemAccepted,LotteryExchangeParams[10].ItemAccepted,LotteryExchangeParams[11].ItemAccepted,LotteryExchangeParams[12].ItemAccepted,LotteryExchangeParams[13].ItemAccepted,LotteryExchangeParams[14].ItemAccepted,LotteryExchangeParams[15].ItemAccepted,LotteryExchangeParams[16].ItemAccepted,LotteryExchangeParams[17].ItemAccepted,LotteryExchangeParams[18].ItemAccepted,LotteryExchangeParams[19].ItemAccepted,LotteryExchangeParams[20].ItemAccepted,LotteryExchangeParams[21].ItemAccepted,LotteryExchangeParams[22].ItemAccepted,LotteryExchangeParams[23].ItemAccepted,LotteryExchangeParams[24].ItemAccepted,LotteryExchangeParams[25].ItemAccepted,LotteryExchangeParams[26].ItemAccepted,LotteryExchangeParams[27].ItemAccepted,LotteryExchangeParams[28].ItemAccepted,LotteryExchangeParams[29].ItemAccepted,LotteryExchangeParams[30].ItemAccepted,LotteryExchangeParams[31].ItemAccepted,LotteryExchangeParams[0].AmountAccepted,LotteryExchangeParams[1].AmountAccepted,LotteryExchangeParams[2].AmountAccepted,LotteryExchangeParams[3].AmountAccepted,LotteryExchangeParams[4].AmountAccepted,LotteryExchangeParams[5].AmountAccepted,LotteryExchangeParams[6].AmountAccepted,LotteryExchangeParams[7].AmountAccepted,LotteryExchangeParams[8].AmountAccepted,LotteryExchangeParams[9].AmountAccepted,LotteryExchangeParams[10].AmountAccepted,LotteryExchangeParams[11].AmountAccepted,LotteryExchangeParams[12].AmountAccepted,LotteryExchangeParams[13].AmountAccepted,LotteryExchangeParams[14].AmountAccepted,LotteryExchangeParams[15].AmountAccepted,LotteryExchangeParams[16].AmountAccepted,LotteryExchangeParams[17].AmountAccepted,LotteryExchangeParams[18].AmountAccepted,LotteryExchangeParams[19].AmountAccepted,LotteryExchangeParams[20].AmountAccepted,LotteryExchangeParams[21].AmountAccepted,LotteryExchangeParams[22].AmountAccepted,LotteryExchangeParams[23].AmountAccepted,LotteryExchangeParams[24].AmountAccepted,LotteryExchangeParams[25].AmountAccepted,LotteryExchangeParams[26].AmountAccepted,LotteryExchangeParams[27].AmountAccepted,LotteryExchangeParams[28].AmountAccepted,LotteryExchangeParams[29].AmountAccepted,LotteryExchangeParams[30].AmountAccepted,LotteryExchangeParams[31].AmountAccepted,LotteryExchangeParams[0].Unknown0,LotteryExchangeParams[1].Unknown0,LotteryExchangeParams[2].Unknown0,LotteryExchangeParams[3].Unknown0,LotteryExchangeParams[4].Unknown0,LotteryExchangeParams[5].Unknown0,LotteryExchangeParams[6].Unknown0,LotteryExchangeParams[7].Unknown0,LotteryExchangeParams[8].Unknown0,LotteryExchangeParams[9].Unknown0,LotteryExchangeParams[10].Unknown0,LotteryExchangeParams[11].Unknown0,LotteryExchangeParams[12].Unknown0,LotteryExchangeParams[13].Unknown0,LotteryExchangeParams[14].Unknown0,LotteryExchangeParams[15].Unknown0,LotteryExchangeParams[16].Unknown0,LotteryExchangeParams[17].Unknown0,LotteryExchangeParams[18].Unknown0,LotteryExchangeParams[19].Unknown0,LotteryExchangeParams[20].Unknown0,LotteryExchangeParams[21].Unknown0,LotteryExchangeParams[22].Unknown0,LotteryExchangeParams[23].Unknown0,LotteryExchangeParams[24].Unknown0,LotteryExchangeParams[25].Unknown0,LotteryExchangeParams[26].Unknown0,LotteryExchangeParams[27].Unknown0,LotteryExchangeParams[28].Unknown0,LotteryExchangeParams[29].Unknown0,LotteryExchangeParams[30].Unknown0,LotteryExchangeParams[31].Unknown0,LotteryExchangeParams[0].Unknown1,LotteryExchangeParams[1].Unknown1,LotteryExchangeParams[2].Unknown1,LotteryExchangeParams[3].Unknown1,LotteryExchangeParams[4].Unknown1,LotteryExchangeParams[5].Unknown1,LotteryExchangeParams[6].Unknown1,LotteryExchangeParams[7].Unknown1,LotteryExchangeParams[8].Unknown1,LotteryExchangeParams[9].Unknown1,LotteryExchangeParams[10].Unknown1,LotteryExchangeParams[11].Unknown1,LotteryExchangeParams[12].Unknown1,LotteryExchangeParams[13].Unknown1,LotteryExchangeParams[14].Unknown1,LotteryExchangeParams[15].Unknown1,LotteryExchangeParams[16].Unknown1,LotteryExchangeParams[17].Unknown1,LotteryExchangeParams[18].Unknown1,LotteryExchangeParams[19].Unknown1,LotteryExchangeParams[20].Unknown1,LotteryExchangeParams[21].Unknown1,LotteryExchangeParams[22].Unknown1,LotteryExchangeParams[23].Unknown1,LotteryExchangeParams[24].Unknown1,LotteryExchangeParams[25].Unknown1,LotteryExchangeParams[26].Unknown1,LotteryExchangeParams[27].Unknown1,LotteryExchangeParams[28].Unknown1,LotteryExchangeParams[29].Unknown1,LotteryExchangeParams[30].Unknown1,LotteryExchangeParams[31].Unknown1,Script,LogMessage[0],LogMessage[1],LogMessage[2],
offset,0,8,20,32,44,56,68,80,92,104,116,128,140,152,164,176,188,200,212,224,236,248,260,272,284,296,308,320,332,344,356,368,380,4,16,28,40,52,64,76,88,100,112,124,136,148,160,172,184,196,208,220,232,244,256,268,280,292,304,316,328,340,352,364,376,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216,228,240,252,264,276,288,300,312,324,336,348,360,372,384,13,25,37,49,61,73,85,97,109,121,133,145,157,169,181,193,205,217,229,241,253,265,277,289,301,313,325,337,349,361,373,385,388,392,396,400,404
Int32,String,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,String,UInt32,UInt32,UInt32,PackedBool0
3407872,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,True
3407873,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,False
3407874,"鉴定上锁的宝箱",17341,17342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",7434,7435,0,True
3407875,"",22508,23142,23379,24141,24142,24848,24849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LotteryExchangeShopEurekaLockPicker",7434,7435,0,True
3407876,"",21803,21803,21803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LotteryExchangeShopEureka1Crystal",3975,3974,0,True
3407877,"",24007,24008,24009,24010,24011,24012,24013,24014,24809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LotteryExchangeShopEureka3Shard",3982,3983,0,True
3407878,"",30884,30885,30886,30887,30888,30889,30890,30891,30892,30893,30894,30895,30896,30897,30898,30899,32162,32163,32164,32165,32831,32832,32833,32834,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,5,5,5,8,8,8,8,11,11,12,13,14,15,10,13,14,15,15,15,15,15,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,18,10,15,17,19,20,21,22,23,0,0,0,0,0,0,0,0,"LotteryExchangeShopMycTemporaryItem",7437,0,7436,True
