key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
#,ModelMainHand,DyeMainHand,Dye2MainHand,ModelOffHand,DyeOffHand,Dye2OffHand,ModelHead,DyeHead,Dye2Head,Visor,VisorToggled,ModelBody,DyeBody,Dye2Body,ModelHands,DyeHands,Dye2Hands,ModelLegs,DyeLegs,Dye2Legs,ModelFeet,DyeFeet,Dye2Feet,ModelEars,DyeEars,Dye2Ears,ModelNeck,DyeNeck,Dye2Neck,ModelWrists,DyeWrists,Dye2Wrists,ModelLeftRing,DyeLeftRing,Dye2LeftRing,ModelRightRing,DyeRightRing,Dye2RightRing,Glasses[0],Glasses[1]
offset,0,60,61,8,62,63,16,64,74,84,84,20,65,75,24,66,76,28,67,77,32,68,78,36,69,79,40,70,80,44,71,81,48,72,82,52,73,83,56,58
Int32,UInt64,UInt8,UInt8,UInt64,UInt8,UInt8,UInt32,UInt8,UInt8,PackedBool0,PackedBool1,UInt32,UInt8,UInt8,UInt32,UInt8,UInt8,UInt32,UInt8,UInt8,UInt32,UInt8,UInt8,UInt32,UInt8,UInt8,UInt32,UInt8,UInt8,UInt32,UInt8,UInt8,UInt32,UInt8,UInt8,UInt32,UInt8,UInt8,UInt16,UInt16
0,0,0,0,0,0,0,0,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,65581,0,0,False,False,65581,0,0,65581,0,0,3735553,0,0,65581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,262189,0,0,False,False,262189,0,0,262189,0,0,3735553,0,0,262189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,458797,0,0,False,False,458797,0,0,458797,0,0,3735553,0,0,458797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,21474967953,0,0,0,0,0,5570574,0,0,False,False,327696,0,0,65536,0,0,3866634,0,0,4390925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,25770000785,0,0,0,0,0,5701646,0,0,False,False,1179664,0,0,65536,0,0,3997706,0,0,4521997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4295623057,0,0,0,0,0,9240592,0,0,False,False,1966096,0,0,65536,0,0,4456458,0,0,4784141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,9895952,0,0,False,False,2424848,0,0,65536,0,0,3932163,0,0,5898253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,786456,0,0,False,False,3145744,0,0,65536,0,0,4456451,0,0,6160397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,196653,0,0,False,False,196653,0,0,196653,0,0,3735553,0,0,196653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,393261,0,0,False,False,393261,0,0,393261,0,0,3735553,0,0,393261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,589869,0,0,False,False,589869,0,0,589869,0,0,3735553,0,0,589869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12887457993,0,0,4295360613,0,0,7340045,0,0,False,False,196618,0,0,6815749,0,0,3735562,0,0,8192010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,17179934922,0,0,25770328165,0,0,8192013,0,0,False,False,720906,0,0,7667717,0,0,3997706,0,0,8257546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,4296016073,0,0,21475229797,0,0,12517386,0,0,False,False,2359306,0,0,9109509,0,0,5177354,0,0,8323082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,13500426,0,0,False,False,2621450,0,0,9175045,0,0,5046282,0,0,9830410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,13107210,0,0,False,False,3407882,0,0,9568261,0,0,5439498,0,0,9895946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,131117,0,0,False,False,131117,0,0,131117,0,0,3735553,0,0,131117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,327725,0,0,False,False,327725,0,0,327725,0,0,3735553,0,0,327725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,524333,0,0,False,False,524333,0,0,524333,0,0,3735553,0,0,524333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,34359935477,0,0,0,0,0,10354692,0,0,False,False,524297,0,0,6553609,0,0,65545,0,0,65545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21474902517,0,0,0,0,0,10682372,0,0,False,False,851977,0,0,6881289,0,0,4915209,0,0,10092553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,4295492085,0,0,0,0,0,14352393,0,0,False,False,1507337,0,0,7274505,0,0,4980745,0,0,10158089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,14024713,0,0,False,False,2490377,0,0,7340041,0,0,5046281,0,0,10223625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,16384009,0,0,False,False,4194313,0,0,8519689,0,0,5701641,0,0,12582921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,12884967825,0,0,0,0,0,8585231,75,0,False,False,1703951,75,0,5111816,75,0,3735567,75,0,5898255,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,8591966609,0,0,0,0,0,7536655,0,0,False,False,393231,0,0,65544,0,0,65551,0,0,4915215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,8590001836,0,0,0,0,0,1441812,0,0,False,False,196728,1,0,196728,0,0,196728,0,0,196728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,4295034540,0,0,0,0,0,262164,0,0,False,False,1966114,0,0,7536647,0,0,4063237,0,0,10027013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,8590267973,0,0,0,0,0,2097182,1,0,False,False,131152,0,0,3080205,0,0,65616,0,0,65616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,8590005829,0,0,0,0,0,65566,0,0,False,False,3342366,0,0,75439,0,0,3604484,0,0,7340036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,12884972525,0,0,0,0,0,131145,0,0,False,False,131145,0,0,131145,0,0,131145,0,0,65609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,8590005229,0,0,0,0,0,3604501,0,0,False,False,589826,0,0,5898242,0,0,3538946,0,0,7929858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,12884972625,0,0,0,0,0,131148,0,0,False,False,131148,0,0,65612,0,0,65612,0,0,131148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,8590005329,0,0,0,0,0,9961476,0,0,False,False,262146,0,0,5898242,0,0,5373954,0,0,7929858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,12884974625,0,0,0,0,0,65559,71,0,False,False,1703942,0,0,7536645,0,0,65606,0,0,65606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,8590007329,0,0,0,0,0,917527,0,0,False,False,15728646,0,0,7536645,0,0,6881286,0,0,262145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,12885098797,0,0,12885098847,0,0,0,0,0,False,False,1114120,0,0,4849672,0,0,4653066,0,0,7340040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,4295164205,0,0,4295164255,0,0,0,0,0,False,False,196616,0,0,5963786,0,0,65546,0,0,5701640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,17180459309,0,0,17180459359,0,0,11993098,51,0,False,False,1572874,51,0,6488074,0,0,4587530,6,0,9109514,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
