key,0,1,2
#,Name,ClassJob,PreviousComboAction
int32,Action,ClassJob,Action
0,"",,""
1,"祈告剑","骑士","赎罪剑"
2,"葬送剑","骑士","赎罪剑"
3,"信念之剑","骑士","悔罪"
4,"真理之剑","骑士","悔罪"
5,"英勇之剑","骑士","悔罪"
6,"荣耀之剑","骑士","绝对统治"
7,"混沌旋风","战士","地毁人亡"
8,"狂魂","战士","裂石飞环"
9,"原初的怒震","战士","原初的解放"
10,"尽毁","战士","蛮荒崩裂"
11,"血红乱","暗黑骑士","血溅"
12,"报应","暗黑骑士","血溅"
13,"戮山","暗黑骑士","血溅"
14,"刺穿","暗黑骑士","寂灭"
15,"猛兽爪","绝枪战士","烈牙"
16,"凶禽爪","绝枪战士","烈牙"
17,"撕喉","绝枪战士","续剑"
18,"裂膛","绝枪战士","续剑"
19,"穿目","绝枪战士","续剑"
20,"超高速","绝枪战士","续剑"
21,"命运之印","绝枪战士","续剑"
22,"支配之心","绝枪战士","血壤"
23,"终结之心","绝枪战士","血壤"
24,"苍气炮","武僧","必杀技"
25,"爆裂脚","武僧","必杀技"
26,"翻天脚","武僧","必杀技"
27,"斗魂旋风脚","武僧","必杀技"
28,"凤凰舞","武僧","必杀技"
29,"梦幻斗舞","武僧","必杀技"
30,"真空波","武僧","必杀技"
31,"云蒸龙变","龙骑士",""
32,"龙眼雷电","龙骑士","精准刺"
33,"龙眼苍穹","龙骑士","死天枪"
34,"通灵之术",,"忍术"
35,"风魔手里剑","忍者","忍术"
36,"火遁之术","忍者","忍术"
37,"雷遁之术","忍者","忍术"
38,"冰遁之术","忍者","忍术"
39,"风遁之术","忍者","忍术"
40,"土遁之术","忍者","忍术"
41,"水遁之术","忍者","忍术"
42,"劫火灭却之术","忍者","忍术"
43,"冰晶乱流之术","忍者","忍术"
44,"",,""
45,"幻影野槌","忍者",""
46,"是生灭法","忍者","六道轮回"
47,"通灵之术·虾蟆仙","忍者","通灵之术·大虾蟆"
48,"天理人道","忍者","天地人"
49,"彼岸花","武士","居合术"
50,"天下五剑","武士","居合术"
51,"纷乱雪月花","武士","居合术"
52,"回返五剑","武士","燕回返"
