key,0
#,Status
int32,Status
0,""
1,"直线射击预备"
2,"救疗效果提高"
3,"穿裂锐牙"
4,"雷云"
5,"火苗"
6,"士气高扬之策效果提高"
7,"龙牙龙爪预备"
8,"龙尾大回旋预备"
9,"独头弹效果提高"
10,"狙击弹效果提高"
11,"释放效果提高"
12,"福星效果提高"
13,"幻象冲预备"
14,"燕飞效果提高"
15,"赤火炎预备"
16,"赤飞石预备"
17,"冲击预备"
18,"散碎效果提高"
19,"雷云"
20,"疾风极意"
21,"连续咏唱"
22,"简略咏唱"
23,"疾风极意"
24,"毁绝预备"
25,"逆瀑泻预备"
26,"坠喷泉预备"
27,"升风车预备"
28,"落血雨预备"
29,"扇舞·急预备"
30,""
31,"安魂祈祷"
32,"龙眼"
33,"撕喉预备"
34,"裂膛预备"
35,"穿目预备"
36,"赎罪剑预备"
37,"断绝预备"
38,"扇舞·急预备"
39,"忠义之剑"
40,"灵泉"
41,"原初的混沌"
42,"撕喉预备"
43,"裂膛预备"
44,"穿目预备"
45,"妖异之镰"
46,"悔罪预备"
47,"回退预备"
48,"妖异之镰"
49,"回退预备"
50,"对称投掷"
51,"非对称投掷"
52,"超高速"
53,"爆破箭预备"
54,"血乱"
55,"均衡"
56,"勾刃效果提高"
57,"播魂种"
58,"月影雷兽预备"
59,"咬噬锐牙"
60,"魔猿形"
61,"蛮荒崩裂预备"
62,"残影镰鼬预备"
63,"死亡祭品"
64,"即兴表演"
65,"提拉纳预备"
66,"扇舞·终"
67,"流星舞预备"
68,"深红旋风预备"
69,"螺旋气流预备"
70,"均衡"
71,"勾刃效果提高"
72,"奥义斩浪预备"
73,"核爆效果提高"
74,"绞决效果提高"
75,"缢杀效果提高"
76,"山崩预备"
77,"影噬箭预备"
78,"●コンフィテオル実行可"
79,"夜游魂"
80,"暗血"
81,"暗技"
82,"超高速预备"
83,"晶壤"
84,"连续剑"
85,"愈疗预备"
86,"均衡"
87,"蛇刺"
88,"诗心"
89,"爆破箭预备"
90,"过热"
91,"前冲步"
92,"剑舞预备"
93,"刃舞"
94,"金刚神髓"
95,"苍穹刺预备"
96,"红莲龙血"
97,"天龙眼"
98,"冲天"
99,"星遁天诛预备"
100,"纷乱雪月花预备"
101,"播魂种"
102,""
103,"星极火II"
104,""
105,"灵极冰II"
106,"通晓"
107,"龙神附体"
108,"不死鸟附体"
109,"赤神圣、赤核爆预备"
110,"●デプラスマン実行可"
111,"月影雷兽牙预备"
112,"秘策"
113,"分析"
114,"星极火III"
115,"灵极冰III"
116,"侧击锐牙"
117,"侧裂锐牙"
118,"背击锐牙"
119,"背裂锐牙"
120,"乱击锐牙"
121,"乱裂锐牙"
122,""
123,""
124,""
125,""
126,""
127,""
128,"连击双锐牙"
129,"乱击双锐牙"
130,"连闪双锐牙"
131,"乱闪双锐牙"
132,""
133,""
134,""
135,""
136,"连尾锐尾"
137,"乱尾锐尾"
138,"以太色调"
139,"以太色调II"
140,""
141,""
142,"重锤连击"
143,"天星棱光预备"
144,"彩虹点滴效果提高"
145,"坦培拉涂层"
146,""
147,"精准闪躲"
148,""
149,"祈告剑预备"
150,"葬送剑预备"
151,"荣耀之剑预备"
152,"原初的怒震预备"
153,"尽毁预备"
154,"血乱"
155,"掠影的蔑视预备"
156,"命运之印预备"
157,"心有灵狮"
158,"金刚周天预备"
159,"绝空拳预备"
160,"乾坤斗气弹预备"
161,"龙炎升预备"
162,"渡星冲预备"
163,"忍隐"
164,"秘技预备"
165,"天理人道预备"
166,"残心预备"
167,"祭牲预备"
168,"处刑人"
169,"完人预备"
170,"共鸣箭预备"
171,"光明神的返场余音预备"
172,"掘地飞轮预备"
173,"全金属爆发预备"
174,"落幕舞预备"
175,"结束动作预备"
176,"拂晓舞预备"
177,"云砧"
178,"灼热之闪预备"
179,"荆棘环绕预备"
180,"显贵冲击预备"
181,"闪飒预备"
182,"神爱抚预备"
183,"埋伏之毒预备"
184,"神谕预备"
185,"太阳星座预备"
186,"减色混合"
187,"死者之岸预备"
188,"光芒四射预备"
189,"原初的混沌"
190,"鹰眼"
191,"日光普照预备"
192,"色调反转"
193,"减色混合预备"
194,""
195,""
196,""
197,""
198,""
199,""
200,""
201,""
202,""
203,""
204,""
205,""
206,""
207,"莫古力标识"
208,"马蒂恩标识"
209,"沥血剑预备"
210,"音速破预备"
211,"天星棱光预备"
212,"坦培拉涂层"
213,"绒球彩绘"
214,"翅膀彩绘"
215,"兽爪彩绘"
216,"尖牙彩绘"
217,"蛇鳞"
218,"祖灵降临预备"
219,""
220,""
221,""
222,"燕回返预备"
223,"燕回返预备"
224,"燕回返预备"
225,"燕回返预备"
