key,0,1,2,3,4,5,6,7
#,Image,Icon,,UnlockCondition,,,SortKey,Name
int32,Image,Image,byte,BannerCondition,uint16,uint16,uint16,str
0,,"ui/icon/082000/082093.tex",0,"BannerCondition#0",0,0,0,"无"
1,"ui/icon/192000/192001.tex","ui/icon/082000/082093.tex",1,"BannerCondition#1",0,0,1,"无"
2,"ui/icon/192000/192002.tex","ui/icon/082000/082093.tex",1,"BannerCondition#1",0,0,2,"月桂叶"
3,"ui/icon/192000/192003.tex","ui/icon/082000/082093.tex",1,"BannerCondition#1",0,0,10,"心形"
4,"ui/icon/192000/192004.tex","ui/icon/082000/082093.tex",1,"BannerCondition#1",0,0,11,"星星"
5,"ui/icon/192000/192005.tex","ui/icon/082000/082093.tex",1,"BannerCondition#1",0,0,12,"防护职业"
6,"ui/icon/192000/192006.tex","ui/icon/082000/082093.tex",1,"BannerCondition#1",0,0,14,"进攻职业"
7,"ui/icon/192000/192007.tex","ui/icon/082000/082093.tex",1,"BannerCondition#1",0,0,13,"治疗职业"
8,"ui/icon/192000/192008.tex","ui/icon/082000/082093.tex",1,"BannerCondition#1",0,0,32,"闪亮"
9,"ui/icon/192000/192009.tex","ui/icon/082000/082093.tex",1,"BannerCondition#1",0,0,16,"肉球"
10,"ui/icon/192000/192010.tex","ui/icon/082000/082093.tex",1,"BannerCondition#1",0,0,17,"感叹号"
11,"ui/icon/192000/192011.tex","ui/icon/082000/082093.tex",1,"BannerCondition#1",0,0,18,"问号"
12,"ui/icon/192000/192301.tex","ui/icon/082000/082093.tex",2,"BannerCondition#124",0,0,2000,"骑士"
13,"ui/icon/192000/192302.tex","ui/icon/082000/082093.tex",2,"BannerCondition#125",0,0,2001,"战士"
14,"ui/icon/192000/192303.tex","ui/icon/082000/082093.tex",2,"BannerCondition#126",0,0,2002,"暗黑骑士"
15,"ui/icon/192000/192304.tex","ui/icon/082000/082093.tex",2,"BannerCondition#127",0,0,2003,"绝枪战士"
16,"ui/icon/192000/192305.tex","ui/icon/082000/082093.tex",2,"BannerCondition#128",0,0,2004,"白魔法师"
17,"ui/icon/192000/192306.tex","ui/icon/082000/082093.tex",2,"BannerCondition#129",0,0,2005,"学者"
18,"ui/icon/192000/192307.tex","ui/icon/082000/082093.tex",2,"BannerCondition#130",0,0,2006,"占星术士"
19,"ui/icon/192000/192308.tex","ui/icon/082000/082093.tex",2,"BannerCondition#131",0,0,2007,"贤者"
