key,0,1,2,3,4
#,Background,Frame,Decoration,SortKey,Name
int32,BannerBg,BannerFrame,BannerDecoration,uint16,str
0,"无","0","0",0,"自定义"
1,"灰色","1","1",2,"基础"
2,"四边形","2","1",3,"简约"
3,"虚无界空间","20","1",4,"古典"
4,"羊皮纸","20","1",5,"华美"
5,"紫色","21","32",6,"豪华"
6,"以太空间","1","1",1,"以太空间"
7,"羊皮纸","10","1",7,"日志"
8,"渐变色：防护职业","9","12",8,"职能：防护职业"
9,"渐变色：治疗职业","9","13",9,"职能：治疗职业"
10,"渐变色：进攻职业","9","14",10,"职能：进攻职业"
11,"骑士（简易）","2150","2150",2050,"骑士（简易）"
12,"战士（简易）","2151","2151",2051,"战士（简易）"
13,"暗黑骑士（简易）","2152","2152",2052,"暗黑骑士（简易）"
14,"绝枪战士（简易）","2153","2153",2053,"绝枪战士（简易）"
15,"白魔法师（简易）","2154","2154",2054,"白魔法师（简易）"
16,"学者（简易）","2155","2155",2055,"学者（简易）"
17,"占星术士（简易）","2156","2156",2056,"占星术士（简易）"
18,"贤者（简易）","2157","2157",2057,"贤者（简易）"
19,"武僧（简易）","2158","2158",2058,"武僧（简易）"
20,"龙骑士（简易）","2159","2159",2059,"龙骑士（简易）"
21,"忍者（简易）","2160","2160",2060,"忍者（简易）"
22,"武士（简易）","2161","2161",2061,"武士（简易）"
23,"钐镰客（简易）","2162","2162",2062,"钐镰客（简易）"
24,"吟游诗人（简易）","2164","2164",2064,"吟游诗人（简易）"
25,"机工士（简易）","2165","2165",2065,"机工士（简易）"
26,"舞者（简易）","2166","2166",2066,"舞者（简易）"
27,"黑魔法师（简易）","2167","2167",2067,"黑魔法师（简易）"
28,"召唤师（简易）","2168","2168",2068,"召唤师（简易）"
29,"赤魔法师（简易）","2169","2169",2069,"赤魔法师（简易）"
30,"骑士（华丽）","2150","2150",2150,"骑士（华丽）"
31,"战士（华丽）","2151","2151",2151,"战士（华丽）"
32,"暗黑骑士（华丽）","2152","2152",2152,"暗黑骑士（华丽）"
33,"绝枪战士（华丽）","2153","2153",2153,"绝枪战士（华丽）"
34,"白魔法师（华丽）","2154","2154",2154,"白魔法师（华丽）"
35,"学者（华丽）","2155","2155",2155,"学者（华丽）"
36,"占星术士（华丽）","2156","2156",2156,"占星术士（华丽）"
37,"贤者（华丽）","2157","2157",2157,"贤者（华丽）"
38,"武僧（华丽）","2158","2158",2158,"武僧（华丽）"
39,"龙骑士（华丽）","2159","2159",2159,"龙骑士（华丽）"
40,"忍者（华丽）","2160","2160",2160,"忍者（华丽）"
41,"武士（华丽）","2161","2161",2161,"武士（华丽）"
42,"钐镰客（华丽）","2162","2162",2162,"钐镰客（华丽）"
43,"吟游诗人（华丽）","2164","2164",2164,"吟游诗人（华丽）"
44,"机工士（华丽）","2165","2165",2165,"机工士（华丽）"
45,"舞者（华丽）","2166","2166",2166,"舞者（华丽）"
46,"黑魔法师（华丽）","2167","2167",2167,"黑魔法师（华丽）"
47,"召唤师（华丽）","2168","2168",2168,"召唤师（华丽）"
48,"赤魔法师（华丽）","2169","2169",2169,"赤魔法师（华丽）"
49,"星极队","3000","3000",3000,"星极队"
50,"灵极队","3001","3001",3001,"灵极队"
51,"","0","0",4000,"随身神典石1"
52,"","0","0",4001,"随身神典石2"
53,"巴哈姆特绝境战","2500","2500",2500,"巴哈姆特绝境战"
54,"究极神兵绝境战","2501","2501",2501,"究极神兵绝境战"
55,"亚历山大绝境战","2502","2502",2502,"亚历山大绝境战"
56,"幻想龙诗绝境战","2503","2503",2503,"幻想龙诗绝境战"
57,"第1赛季水晶冲突：王者","3200","3200",3200,"第1赛季水晶冲突：王者"
58,"第1赛季水晶冲突：勇者","3201","3201",3201,"第1赛季水晶冲突：勇者"
59,"第1赛季水晶冲突：获奖者","3202","3202",3202,"第1赛季水晶冲突：获奖者"
60,"第1赛季水晶冲突：青铜","3208","3208",3208,"第1赛季水晶冲突：青铜"
61,"第1赛季水晶冲突：白银","3207","3207",3207,"第1赛季水晶冲突：白银"
62,"第1赛季水晶冲突：黄金","3206","3206",3206,"第1赛季水晶冲突：黄金"
63,"第1赛季水晶冲突：白金","3205","3205",3205,"第1赛季水晶冲突：白金"
64,"第1赛季水晶冲突：钻石","3204","3204",3204,"第1赛季水晶冲突：钻石"
65,"第1赛季水晶冲突：水晶","3203","3203",3203,"第1赛季水晶冲突：水晶"
66,"第2赛季水晶冲突：王者","3209","3209",3209,"第2赛季水晶冲突：王者"
67,"第2赛季水晶冲突：勇者","3210","3210",3210,"第2赛季水晶冲突：勇者"
68,"第2赛季水晶冲突：获奖者","3211","3211",3211,"第2赛季水晶冲突：获奖者"
69,"第2赛季水晶冲突：青铜","3217","3217",3217,"第2赛季水晶冲突：青铜"
70,"第2赛季水晶冲突：白银","3216","3216",3216,"第2赛季水晶冲突：白银"
71,"第2赛季水晶冲突：黄金","3215","3215",3215,"第2赛季水晶冲突：黄金"
72,"第2赛季水晶冲突：白金","3214","3214",3214,"第2赛季水晶冲突：白金"
73,"第2赛季水晶冲突：钻石","3213","3213",3213,"第2赛季水晶冲突：钻石"
74,"第2赛季水晶冲突：水晶","3212","3212",3212,"第2赛季水晶冲突：水晶"
75,"第3赛季水晶冲突：王者","3218","3218",3218,"第3赛季水晶冲突：王者"
76,"第3赛季水晶冲突：勇者","3219","3219",3219,"第3赛季水晶冲突：勇者"
77,"第3赛季水晶冲突：获奖者","3220","3220",3220,"第3赛季水晶冲突：获奖者"
78,"第3赛季水晶冲突：青铜","3226","3226",3226,"第3赛季水晶冲突：青铜"
79,"第3赛季水晶冲突：白银","3225","3225",3225,"第3赛季水晶冲突：白银"
80,"第3赛季水晶冲突：黄金","3224","3224",3224,"第3赛季水晶冲突：黄金"
81,"第3赛季水晶冲突：白金","3223","3223",3223,"第3赛季水晶冲突：白金"
82,"第3赛季水晶冲突：钻石","3222","3222",3222,"第3赛季水晶冲突：钻石"
83,"第3赛季水晶冲突：水晶","3221","3221",3221,"第3赛季水晶冲突：水晶"
84,"水晶冲突：蓝色","3002","3002",3002,"水晶冲突：蓝色"
85,"水晶冲突：红色","3003","3003",3003,"水晶冲突：红色"
86,"多变迷宫：希拉狄哈水道","2400","2400",2400,"多变迷宫：希拉狄哈水道"
87,"友好部族任务：奥密克戎族","1","2315",2315,"友好部族任务：奥密克戎族"
88,"几何图形：圆形","6","30",11,"几何图形：圆形"
89,"漫画","32","21",12,"漫画"
