key,0,1,2,3,4
#,Emote,UnlockCondition,,,SortKey
int32,Emote,BannerCondition,uint16,uint16,byte
0,"","BannerCondition#1",0,0,1
1,"表情：平常","BannerCondition#1",0,0,2
2,"表情：微笑","BannerCondition#1",0,0,3
3,"表情：笑颜","BannerCondition#1",0,0,4
4,"表情：自信","BannerCondition#1",0,0,7
5,"表情：无畏","BannerCondition#1",0,0,8
6,"表情：闭目","BannerCondition#1",0,0,9
7,"表情：悲伤","BannerCondition#1",0,0,10
8,"表情：恐怖","BannerCondition#1",0,0,11
9,"表情：意外","BannerCondition#1",0,0,12
10,"表情：痛苦","BannerCondition#1",0,0,13
11,"表情：反感","BannerCondition#1",0,0,14
12,"表情：吃惊","BannerCondition#1",0,0,15
13,"表情：担心","BannerCondition#1",0,0,16
14,"表情：咧嘴","BannerCondition#2",0,0,23
15,"表情：沉思","BannerCondition#3",0,0,24
16,"表情：皱眉","BannerCondition#1",0,0,25
17,"表情：苦笑","BannerCondition#1",0,0,26
18,"表情：右飞眼","BannerCondition#1",0,0,5
19,"表情：阴险","BannerCondition#1",0,0,17
20,"表情：嘟嘴","BannerCondition#1",0,0,18
21,"表情：认真","BannerCondition#1",0,0,19
22,"表情：困惑","BannerCondition#1",0,0,20
23,"表情：柔和","BannerCondition#1",0,0,21
24,"表情：满足","BannerCondition#1",0,0,22
25,"表情：思索","BannerCondition#4",0,0,27
26,"表情：左飞眼","BannerCondition#1",0,0,6
27,"表情：忍耐","BannerCondition#5",0,0,28
28,"表情：假笑","BannerCondition#1",0,0,29
