key,0,1,2,3,4,5,6,7
#,Image,Icon,,UnlockCondition,,,SortKey,Name
int32,Image,Image,byte,BannerCondition,uint16,uint16,uint16,str
0,,"ui/icon/082000/082092.tex",0,"BannerCondition#0",0,0,0,"无"
1,"ui/icon/191000/191001.tex","ui/icon/082000/082092.tex",1,"BannerCondition#1",0,0,1,"无"
2,"ui/icon/191000/191002.tex","ui/icon/082000/082092.tex",1,"BannerCondition#1",0,0,3,"褪色：黑"
3,"ui/icon/191000/191003.tex","ui/icon/082000/082092.tex",1,"BannerCondition#1",0,0,2,"褪色：白"
4,"ui/icon/191000/191004.tex","ui/icon/082000/082092.tex",1,"BannerCondition#1",0,0,7,"简易边框：白"
5,"ui/icon/191000/191005.tex","ui/icon/082000/082092.tex",1,"BannerCondition#1",0,0,5,"金属边框：银"
6,"ui/icon/191000/191006.tex","ui/icon/082000/082092.tex",1,"BannerCondition#1",0,0,4,"金属边框：金"
7,"ui/icon/191000/191007.tex","ui/icon/082000/082092.tex",1,"BannerCondition#1",0,0,10,"日志"
8,"ui/icon/191000/191008.tex","ui/icon/082000/082092.tex",1,"BannerCondition#1",0,0,8,"简易边框：棕色"
9,"ui/icon/191000/191009.tex","ui/icon/082000/082092.tex",1,"BannerCondition#1",0,0,9,"简易边框：金属"
10,"ui/icon/191000/191010.tex","ui/icon/082000/082092.tex",1,"BannerCondition#1",0,0,20,"古董"
11,"ui/icon/191000/191011.tex","ui/icon/082000/082092.tex",1,"BannerCondition#1",0,0,21,"角花"
12,"ui/icon/191000/191301.tex","ui/icon/082000/082092.tex",2,"BannerCondition#124",0,0,2000,"骑士"
13,"ui/icon/191000/191302.tex","ui/icon/082000/082092.tex",2,"BannerCondition#125",0,0,2001,"战士"
14,"ui/icon/191000/191303.tex","ui/icon/082000/082092.tex",2,"BannerCondition#126",0,0,2002,"暗黑骑士"
15,"ui/icon/191000/191304.tex","ui/icon/082000/082092.tex",2,"BannerCondition#127",0,0,2003,"绝枪战士"
16,"ui/icon/191000/191305.tex","ui/icon/082000/082092.tex",2,"BannerCondition#128",0,0,2004,"白魔法师"
17,"ui/icon/191000/191306.tex","ui/icon/082000/082092.tex",2,"BannerCondition#129",0,0,2005,"学者"
18,"ui/icon/191000/191307.tex","ui/icon/082000/082092.tex",2,"BannerCondition#130",0,0,2006,"占星术士"
19,"ui/icon/191000/191308.tex","ui/icon/082000/082092.tex",2,"BannerCondition#131",0,0,2007,"贤者"
