key,0,1,2,3,4,5,6,7
#,ContentLinkType,Content,,UnlockQuest[0],UnlockQuest[1],UnlockQuest[2],,Map
int32,byte,Row,bit&01,Quest,Quest,Quest,uint32,Row
0,0,,False,,,,0,
1,1,"InstanceContent#9",False,"埋在圣堂中的疑惑",,,0,
2,1,"InstanceContent#12",False,"献给亲爱的战友",,,0,
3,1,"InstanceContent#13",False,"调查泽梅尔要塞",,,0,
4,1,"InstanceContent#25",False,"夙愿得偿",,,0,
5,1,"InstanceContent#28",False,"祸起沙斯塔夏",,,0,
6,1,"InstanceContent#26",False,"圣堂中的陷阱",,,0,
7,1,"InstanceContent#30",False,"血染古神殿",,,0,
8,1,"InstanceContent#38",False,"苍穹之禁城",,,0,
9,1,"InstanceContent#56",False,"红莲之狂潮",,,0,
10,1,"InstanceContent#59",False,"四圣兽传说",,,0,
11,1,"InstanceContent#67",False,"暗影之逆焰",,,0,
12,1,"InstanceContent#84",False,"晓月之终途",,,0,
13,1,"InstanceContent#30001",False,"古代人迷宫",,,0,
14,1,"InstanceContent#30011",False,"希尔科斯塔",,,0,
15,1,"InstanceContent#30020",False,"暗之世界",,,0,
16,1,"InstanceContent#30058",False,"失落之都拉巴纳斯塔",,,0,
17,1,"InstanceContent#30068",False,"封闭圣塔",,,0,
18,1,"InstanceContent#30077",False,"乐欲之所瓯博讷修道院",,,0,
19,1,"InstanceContent#30049",False,"虚像的真面目",,,0,
20,1,"InstanceContent#30050",False,"灾变的凝视",,,0,
21,1,"InstanceContent#30051",False,"次元城女王",,,0,
22,1,"InstanceContent#30052",False,"归于虚无",,,0,
23,1,"InstanceContent#30059",False,"别、想、逃",,,0,
24,1,"InstanceContent#30060",False,"未完成的艺术品",,,0,
25,1,"InstanceContent#30061",False,"禁止通行",,,0,
26,1,"InstanceContent#30062",False,"破坏的妖星",,,0,
27,1,"InstanceContent#30069",False,"开始如期而至",,,0,
28,1,"InstanceContent#30070",False,"原初之龙如红色流星般降临",,,0,
29,1,"InstanceContent#30071",False,"最终之战",,,0,
30,1,"InstanceContent#30072",False,"最终之战",,,0,
31,1,"InstanceContent#30078",False,"伊甸的支配者",,,0,
32,1,"InstanceContent#30082",False,"横空而来的黑暗",,,0,
33,1,"InstanceContent#30080",False,"涡动、再战",,,0,
34,1,"InstanceContent#30084",False,"愤怒、再来",,,0,
35,1,"InstanceContent#30088",False,"雷鸣、再起",,,0,
36,1,"InstanceContent#30090",False,"风火、再转",,,0,
37,1,"InstanceContent#30092",False,"于无音之暗",,,0,
38,1,"InstanceContent#30094",False,"冰晶、再会",,,0,
39,1,"InstanceContent#30097",False,"黑暗、再诞",,,0,
40,1,"InstanceContent#30099",False,"远古的记忆",,,0,
41,1,"InstanceContent#30101",False,"骑士之誓",,,0,
