key,0,1,2,3,4,5,6,7,8,9,10
#,ContentType,Text[0],Text[1],Text[2],Text[3],Image,,UnlockQuest,,,
int32,ContentType,Addon,Addon,Addon,Addon,Image,uint32,Quest,uint32,uint32,uint32
0,"","","","","",,0,,0,0,0
1,"迷宫挑战","<If(GreaterThan(IntegerParameter(3),0))><Sheet(InstanceContent,IntegerParameter(5),3)/><Else/>？？？？</If>","<If(GreaterThan(IntegerParameter(3),0))><Sheet(InstanceContent,IntegerParameter(5),3)/><Else/>？？？？</If>
<Value>IntegerParameter(7)</Value>级 <If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>？？？？</If>","突破<Sheet(InstanceContent,IntegerParameter(5),3)/>。","",,0,,0,0,0
2,"讨伐歼灭战","<If(GreaterThan(IntegerParameter(3),0))><Sheet(InstanceContent,IntegerParameter(5),3)/><Else/>？？？？</If>","<If(GreaterThan(IntegerParameter(3),0))><Sheet(InstanceContent,IntegerParameter(5),3)/><Else/>？？？？</If>
<Value>IntegerParameter(7)</Value>级 <If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>？？？？</If>","突破<Sheet(InstanceContent,IntegerParameter(5),3)/>。","",,0,,0,0,0
3,"大型任务","<If(GreaterThan(IntegerParameter(3),0))><Sheet(InstanceContent,IntegerParameter(5),3)/><Else/>？？？？</If>","<If(GreaterThan(IntegerParameter(3),0))><Sheet(InstanceContent,IntegerParameter(5),3)/><Else/>？？？？</If>
<Value>IntegerParameter(7)</Value>级 <If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>？？？？</If>","突破<Sheet(InstanceContent,IntegerParameter(5),3)/>。","",,0,,0,0,0
4,"对战","<If(GreaterThan(IntegerParameter(3),0))><Sheet(InstanceContent,IntegerParameter(5),3)/><Else/>？？？？</If>","<If(GreaterThan(IntegerParameter(3),0))><Sheet(InstanceContent,IntegerParameter(5),3)/><Else/>？？？？</If>
<Value>IntegerParameter(7)</Value>级 <If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>？？？？</If>","参加<Sheet(InstanceContent,IntegerParameter(5),3)/>。","胜败会影响奖励量。",,0,,0,0,0
5,"深层迷宫","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>？？？？</If>","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>？？？？</If>
<Value>IntegerParameter(7)</Value>级","<Sheet(Addon,15955,0,<Sheet(PlaceName,<Sheet(TerritoryType,<Sheet(ContentFinderCondition,<Sheet(InstanceContent,IntegerParameter(5),8)/>,1)/>,5)/>,0)/>,IntegerParameter(14),IntegerParameter(12),IntegerParameter(16))/>","",,0,,0,0,0
6,"出海垂钓","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>？？？？</If>","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>？？？？</If>
<Value>IntegerParameter(7)</Value>级","1次<Sheet(ContentType,IntegerParameter(2),0)/>中合计渔分达到<If(GreaterThan(IntegerParameter(7),0))><Value>IntegerParameter(7)</Value><Else/><Value>IntegerParameter(8)</Value></If>以上。","合计渔分决定具体奖励数量。","ui/icon/112000/112383.tex",8267820,,69379,0,0
7,"九宫幻卡","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>？？？？</If>","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>？？？？</If>
<Value>IntegerParameter(7)</Value>级","以<Sheet(ContentType,IntegerParameter(2),0)/>战胜<Sheet(PlaceName,<Sheet(TerritoryType,<Sheet(Level,IntegerParameter(10),9)/>,5)/>,0)/>的<Sheet(ENpcResident,IntegerParameter(5),0)/>。","","ui/icon/111000/111044.tex",0,,65973,0,0
