key,0,1,2,3
#,Item,Order,Category,SortKey
int32,Item,uint16,CabinetCategory,byte
0,"英骑战冠",1,"神器装备",1
1,"英骑战甲",2,"神器装备",1
2,"英骑短裤",4,"神器装备",1
3,"英骑手铠",3,"神器装备",1
4,"英骑锁甲靴",5,"神器装备",1
5,"昭武头冠",1,"神器装备",2
6,"昭武斗服",2,"神器装备",2
7,"昭武斗裤",4,"神器装备",2
8,"昭武手套",3,"神器装备",2
9,"昭武斗靴",5,"神器装备",2
10,"勇战轻盔",1,"神器装备",3
11,"勇战胸甲",2,"神器装备",3
12,"勇战马裤",4,"神器装备",3
13,"勇战手铠",3,"神器装备",3
14,"勇战骑靴",5,"神器装备",3
15,"腾龙战盔",1,"神器装备",4
16,"腾龙战铠",2,"神器装备",4
17,"腾龙马裤",4,"神器装备",4
18,"腾龙手铠",3,"神器装备",4
19,"腾龙胫甲",5,"神器装备",4
20,"咏诗礼帽",1,"神器装备",5
21,"咏诗衬衫",2,"神器装备",5
22,"咏诗紧身裤",4,"神器装备",5
23,"咏诗手箍",3,"神器装备",5
24,"咏诗凉鞋",5,"神器装备",5
25,"白愈头冠",1,"神器装备",7
26,"白愈长袍",2,"神器装备",7
27,"白愈裙裤",4,"神器装备",7
28,"白愈腕套",3,"神器装备",7
29,"白愈长靴",5,"神器装备",7
30,"黑术阔边帽",1,"神器装备",8
31,"黑术长衣",2,"神器装备",8
32,"黑术灯笼裤",4,"神器装备",8
33,"黑术手套",3,"神器装备",8
34,"黑术尖头鞋",5,"神器装备",8
35,"天龙武士盔",4,"季节活动装备4",44
36,"朱漆天龙武士盔",5,"季节活动装备4",44
37,"金箔天龙武士盔",6,"季节活动装备4",44
38,"黑漆天龙武士盔",7,"季节活动装备4",44
39,"情人坠饰",1,"季节活动装备4",55
40,"白金情人坠饰",2,"季节活动装备4",55
41,"永恋之羁绊",3,"季节活动装备4",55
42,"桃香",1,"季节活动装备1",12
43,"质朴蛋壳帽",1,"季节活动装备1",19
44,"迷彩蛋壳帽",2,"季节活动装备1",19
45,"三色蛋壳帽",3,"季节活动装备1",19
46,"暗黑蛋壳帽",4,"季节活动装备1",19
47,"陆行鸟蛋壳帽",5,"季节活动装备1",19
