key,0,1,2,3,4,5,6,7,8,9,10
#,Category,SubType,Image,,UnlockCondition,,,,SortKey,Name,
int32,byte,byte,Image,byte,BannerCondition,uint16,uint16,uint16,byte,uint16,str
0,0,0,,0,"BannerCondition#1",0,0,0,0,0,"无"
1,2,0,"ui/icon/194000/194002.tex",0,"BannerCondition#1",0,0,0,1,1,"光泽"
2,2,0,"ui/icon/194000/194003.tex",0,"BannerCondition#1",0,0,0,1,6,"四边形"
3,2,0,"ui/icon/194000/194004.tex",0,"BannerCondition#1",0,0,0,1,7,"圆点"
4,2,0,"ui/icon/194000/194005.tex",0,"BannerCondition#1",0,0,0,1,8,"菱形"
5,2,0,"ui/icon/194000/194006.tex",0,"BannerCondition#1",0,0,0,1,2,"格纹"
6,2,0,"ui/icon/194000/194007.tex",0,"BannerCondition#1",0,0,0,1,3,"斜线"
7,2,0,"ui/icon/194000/194008.tex",0,"BannerCondition#1",0,0,0,1,4,"双色"
8,2,0,"ui/icon/194000/194009.tex",0,"BannerCondition#1",0,0,0,1,5,"三角形"
9,2,0,"ui/icon/194000/194010.tex",0,"BannerCondition#1",0,0,0,1,10,"羊皮纸"
10,2,0,"ui/icon/194000/194011.tex",0,"BannerCondition#1",0,0,0,1,9,"角花"
11,1,0,"ui/icon/195000/195002.tex",0,"BannerCondition#1",0,0,0,1,1,"阴影"
12,1,0,"ui/icon/195000/195003.tex",0,"BannerCondition#1",0,0,0,1,2,"光彩"
13,1,0,"ui/icon/195000/195004.tex",0,"BannerCondition#1",0,0,0,1,3,"圆点"
14,1,0,"ui/icon/195000/195005.tex",0,"BannerCondition#1",0,0,0,1,4,"手册"
15,1,0,"ui/icon/195000/195006.tex",0,"BannerCondition#1",0,0,0,1,5,"剪贴簿"
16,1,0,"ui/icon/195000/195007.tex",0,"BannerCondition#1",0,0,0,1,6,"魔法阵"
17,1,0,"ui/icon/195000/195008.tex",0,"BannerCondition#1",0,0,0,1,7,"羊皮纸"
18,1,0,"ui/icon/195000/195009.tex",0,"BannerCondition#1",0,0,0,1,8,"涂料"
19,1,0,"ui/icon/195000/195010.tex",0,"BannerCondition#1",0,0,0,1,9,"金属看板"
20,1,0,"ui/icon/195000/195011.tex",0,"BannerCondition#1",0,0,0,1,10,"书籍"
21,3,0,"ui/icon/197000/197002.tex",0,"BannerCondition#1",0,0,0,1,3,"标签"
22,3,0,"ui/icon/197000/197003.tex",0,"BannerCondition#1",0,0,0,1,4,"欢迎回来"
23,3,0,"ui/icon/197000/197004.tex",0,"BannerCondition#1",0,0,0,1,5,"金属圆环"
24,3,0,"ui/icon/197000/197005.tex",0,"BannerCondition#1",0,0,0,1,6,"职业标签：防护职业"
25,3,0,"ui/icon/197000/197006.tex",0,"BannerCondition#1",0,0,0,1,8,"职业标签：进攻职业"
26,3,0,"ui/icon/197000/197007.tex",0,"BannerCondition#1",0,0,0,1,7,"职业标签：治疗职业"
27,3,0,"ui/icon/197000/197008.tex",0,"BannerCondition#1",0,0,0,1,1,"简易边框：棕色"
28,3,0,"ui/icon/197000/197009.tex",0,"BannerCondition#1",0,0,0,1,2,"简易边框：金属"
29,3,0,"ui/icon/197000/197010.tex",0,"BannerCondition#1",0,0,0,1,9,"记事贴"
30,3,0,"ui/icon/197000/197011.tex",0,"BannerCondition#1",0,0,0,1,10,"剪贴簿"
31,4,0,"ui/icon/198000/198002.tex",0,"BannerCondition#1",0,0,0,1,3,"黑色"
32,4,0,"ui/icon/198000/198003.tex",0,"BannerCondition#1",0,0,0,1,2,"白色"
33,4,0,"ui/icon/198000/198004.tex",0,"BannerCondition#1",0,0,0,1,5,"宝石边框（复杂）"
34,4,0,"ui/icon/198000/198005.tex",0,"BannerCondition#1",0,0,0,1,4,"宝石边框（简易）"
35,4,0,"ui/icon/198000/198006.tex",0,"BannerCondition#1",0,0,0,1,6,"利姆萨·罗敏萨"
36,4,0,"ui/icon/198000/198007.tex",0,"BannerCondition#1",0,0,0,1,7,"格里达尼亚"
37,4,0,"ui/icon/198000/198008.tex",0,"BannerCondition#1",0,0,0,1,8,"乌尔达哈"
38,4,0,"ui/icon/198000/198009.tex",0,"BannerCondition#1",0,0,0,1,1,"金属"
39,4,0,"ui/icon/198000/198010.tex",0,"BannerCondition#298",0,0,0,1,10,"九宫幻卡EX"
40,4,0,"ui/icon/198000/198011.tex",0,"BannerCondition#298",0,0,0,1,9,"九宫幻卡"
41,5,0,"ui/icon/199000/199002.tex",0,"BannerCondition#1",0,0,0,1,1,"金币"
42,5,0,"ui/icon/199000/199003.tex",0,"BannerCondition#1",0,0,0,1,2,"羽毛笔"
