key,0,1,2,3,4,5,6,7,8,9,10,11,12
#,TopImage,BottomImage,FontColor,,,,UnlockCondition,,,,SortKey,Name,
int32,Image,Image,byte,byte,byte,byte,BannerCondition,uint16,uint16,uint16,byte,uint16,str
0,"ui/icon/196000/196001.tex","ui/icon/196000/196251.tex",0,0,0,0,"BannerCondition#1",0,0,0,0,0,"无"
1,"ui/icon/196000/196002.tex","ui/icon/196000/196252.tex",1,0,0,0,"BannerCondition#1",0,0,0,1,3,"半透明：黑色"
2,"ui/icon/196000/196003.tex","ui/icon/196000/196253.tex",1,0,0,0,"BannerCondition#1",0,0,0,1,1,"渐变色：蓝色"
3,"ui/icon/196000/196004.tex","ui/icon/196000/196254.tex",1,0,0,0,"BannerCondition#1",0,0,0,1,2,"渐变色：紫色"
4,"ui/icon/196000/196005.tex","ui/icon/196000/196255.tex",2,0,0,0,"BannerCondition#1",0,0,0,1,5,"乳白色"
5,"ui/icon/196000/196006.tex","ui/icon/196000/196256.tex",1,0,0,0,"BannerCondition#1",0,0,0,1,9,"长枪"
6,"ui/icon/196000/196007.tex","ui/icon/196000/196257.tex",1,0,0,0,"BannerCondition#1",0,0,0,1,10,"经典"
7,"ui/icon/196000/196008.tex","ui/icon/196000/196258.tex",2,0,0,0,"BannerCondition#1",0,0,0,1,7,"木板"
8,"ui/icon/196000/196009.tex","ui/icon/196000/196259.tex",1,0,0,0,"BannerCondition#1",0,0,0,1,4,"半透明：深蓝色"
9,"ui/icon/196000/196010.tex","ui/icon/196000/196260.tex",1,0,0,0,"BannerCondition#1",0,0,0,1,6,"木质纹理"
10,"ui/icon/196000/196011.tex","ui/icon/196000/196261.tex",1,0,0,0,"BannerCondition#1",0,0,0,1,8,"卷轴"
11,"ui/icon/196000/196101.tex",,1,0,0,0,"BannerCondition#319",0,0,0,4,2500,"巴哈姆特绝境战"
12,"ui/icon/196000/196102.tex",,1,0,0,0,"BannerCondition#320",0,0,0,4,2501,"究极神兵绝境战"
13,"ui/icon/196000/196103.tex",,1,0,0,0,"BannerCondition#321",0,0,0,4,2502,"亚历山大绝境战"
14,"ui/icon/196000/196104.tex",,1,0,0,0,"BannerCondition#322",0,0,0,4,2503,"幻想龙诗绝境战"
15,"ui/icon/196000/196216.tex","ui/icon/196000/196466.tex",1,0,0,0,"BannerCondition#344",0,0,0,3,2315,"友好部族任务：奥密克戎族"
16,"ui/icon/196000/196012.tex","ui/icon/196000/196262.tex",1,0,0,0,"BannerCondition#347",0,0,0,7,22,"音乐"
17,"ui/icon/196000/196013.tex","ui/icon/196000/196263.tex",1,0,0,0,"BannerCondition#1",0,0,0,1,23,"东方样式"
18,"ui/icon/196000/196014.tex","ui/icon/196000/196264.tex",1,0,0,0,"BannerCondition#346",0,0,0,9,1000,"胶带纸：利姆萨·罗敏萨"
19,"ui/icon/196000/196015.tex","ui/icon/196000/196265.tex",1,0,0,0,"BannerCondition#346",0,0,0,9,1001,"胶带纸：格里达尼亚"
20,"ui/icon/196000/196016.tex","ui/icon/196000/196266.tex",1,0,0,0,"BannerCondition#346",0,0,0,9,1002,"胶带纸：乌尔达哈"
21,"ui/icon/196000/196212.tex","ui/icon/196000/196462.tex",1,0,0,0,"BannerCondition#429",0,0,0,3,2311,"友好部族任务：仙子族"
22,"ui/icon/196000/196213.tex","ui/icon/196000/196463.tex",1,0,0,0,"BannerCondition#430",0,0,0,3,2312,"友好部族任务：奇塔利族"
23,"ui/icon/196000/196214.tex","ui/icon/196000/196464.tex",1,0,0,0,"BannerCondition#431",0,0,0,3,2313,"友好部族任务：矮人族"
24,"ui/icon/196000/196215.tex","ui/icon/196000/196465.tex",1,0,0,0,"BannerCondition#432",0,0,0,3,2314,"友好部族任务：悌阳象族"
25,"ui/icon/196000/196217.tex","ui/icon/196000/196467.tex",1,0,0,0,"BannerCondition#433",0,0,0,3,2316,"友好部族任务：兔兔族"
26,"ui/icon/196000/196105.tex",,1,0,0,0,"BannerCondition#434",0,0,0,4,2504,"欧米茄绝境验证战"
27,"ui/icon/196000/196210.tex","ui/icon/196000/196460.tex",1,0,0,0,"BannerCondition#524",0,0,0,3,2308,"友好部族任务：甲人族"
28,"ui/icon/196000/196209.tex","ui/icon/196000/196459.tex",2,0,0,0,"BannerCondition#525",0,0,0,3,2309,"友好部族任务：阿难陀族"
29,"ui/icon/196000/196211.tex","ui/icon/196000/196461.tex",1,0,0,0,"BannerCondition#526",0,0,0,3,2310,"友好部族任务：鲶鱼精族"
