key,0,1,2,3,4,5,6,7,8,9,10
#,,Roles(1),JapaneseCast(1),EnglishCast(1),FrenchCast(1),GermanCast(1),Roles(2),JapaneseCast(2),EnglishCast(2),FrenchCast(2),GermanCast(2)
int32,byte,CreditCast,CreditCast,CreditCast,CreditCast,CreditCast,CreditCast,CreditCast,CreditCast,CreditCast,CreditCast
0.0,0,"","","","","","","","","",""
1.0,1,"Title Logo Designer and Image Illustrator","Yoshitaka Amano","","","","","","","",""
1.1,1,"Main Theme Composer","Nobuo Uematsu","","","","","","","",""
1.2,3,"ALPHINAUD","Yan Qian Luo","Shinnosuke Tachibana","","","TATARU","Hai Tian Hong","Mariya Ise","",""
1.3,3,"Y'SHTOLA","Meng Lu Yang","Ai Kayano","","","URIANGER","Bei Cheng Liu","KENN","",""
1.4,3,"CID","Qiu Jia","Rikiya Koyama","","","BIGGS","Fan Hai","Go Inoue","",""
1.5,3,"AYMERIC","Zhiqing Xia","Tatsuhisa Suzuki","","","LUCIA","Shuai Zhou","Sayaka Ohara","",""
1.6,3,"MIDGARDSORMR","Yuzhu Cheng","Taketora","","","ESTINIEN","Lei Wu","Kenji Hamada","",""
1.7,2,"SHIVA, ICEHEART","Junhua Feng","Maaya Uchida","","","","","","",""
1.8,3,"HILDA","Dian Tao","Yuka Keicho","","","MATOYA","Siyun Wei","Yu Sugimoto","",""
1.9,3,"RAUBAHN ALDYNN","Bo Peng","Hiroki Yasumoto","","","KAN-E-SENNA","Hai Tian Hong","Rie Tanaka","",""
1.10,3,"MERLWYB BLOEFHISWYN","Yin Huang","Atsuko Tanaka","","","YUGIRI","Churong Fan","Rina Satoh","",""
1.11,3,"LOLORITO","Kang Ni","Hisashi Izumi","","","DEWLALA","Peihua Yao","Gara Takashima","",""
1.12,3,"PIPIN","Wei Zhai","Nobuyuki Hiyama","","","EYNZAHR SLAFYRSYN","Qian Hu","Shigeo Kiyama","",""
1.13,3,"ILBERD","Xin Sun","Hiroshi Shirokuma","","","MERIEL","Qi Zhang","Yu Sugimoto","",""
1.14,3,"ZEPHIRIN","Jiajie Wang","Yasuaki Takumi","","","CHARIBERT","Tiantian Xie","Kiyotaka Furushima","",""
1.15,3,"VARIS","Nan Gui","Jouji Nakata","","","REGULA","Lu Zhao","Jurota Kosugi","",""
1.16,3,"THORDAN","Chong Fu","Shinpachi Tsuji","","","ELIDIBUS","Yao Liu","Akira Ishida","",""
1.17,3,"LAHABREA","Yijia Liu","Shuichi Ikeda","","","IGEYORHM","Xiangtong Wu","Ai Orikasa","",""
1.18,2,"HYDAELYN","Yuling Jiang","Masako Ikeda","","","","","","",""
1.19,2,"EDMONT","Wei Wang","Ikuya Sawaki","","","","","","",""
1.20,2,"HAURCHEFANT","Lei Shen","Masakazu Nishida","","","","","","",""
2.0,1,"Title Logo Designer and Image Illustrator","Yoshitaka Amano","","","","","","","",""
2.1,1,"Main Theme Composer","Nobuo Uematsu","","","","","","","",""
2.2,3,"ALPHINAUD","Yan Qian Luo","Shinnosuke Tachibana","","","TATARU","Hai Tian Hong","Mariya Ise","",""
2.3,3,"Y'SHTOLA","Meng Lu Yang","Ai Kayano","","","URIANGER","Bei Cheng Liu","KENN","",""
2.4,3,"CID","Qiu Jia","Rikiya Koyama","","","BIGGS","Fan Hai","Go Inoue","",""
2.5,3,"AYMERIC","Zhiqing Xia","Tatsuhisa Suzuki","","","LUCIA","Shuai Zhou","Sayaka Ohara","",""
2.6,3,"MIDGARDSORMR","Yuzhu Cheng","Taketora","","","ESTINIEN","Lei Wu","Kenji Hamada","",""
2.7,2,"SHIVA, ICEHEART","Junhua Feng","Maaya Uchida","","","","","","",""
2.8,3,"HILDA","Dian Tao","Yuka Keicho","","","MATOYA","Siyun Wei","Yu Sugimoto","",""
2.9,3,"RAUBAHN ALDYNN","Bo Peng","Hiroki Yasumoto","","","KAN-E-SENNA","Hai Tian Hong","Rie Tanaka","",""
2.10,3,"MERLWYB BLOEFHISWYN","Yin Huang","Atsuko Tanaka","","","YUGIRI","Churong Fan","Rina Satoh","",""
2.11,3,"LOLORITO","Kang Ni","Hisashi Izumi","","","DEWLALA","Peihua Yao","Gara Takashima","",""
2.12,3,"PIPIN","Wei Zhai","Nobuyuki Hiyama","","","EYNZAHR SLAFYRSYN","Qian Hu","Shigeo Kiyama","",""
2.13,3,"ILBERD","Xin Sun","Hiroshi Shirokuma","","","MERIEL","Qi Zhang","Yu Sugimoto","",""
2.14,3,"ZEPHIRIN","Jiajie Wang","Yasuaki Takumi","","","CHARIBERT","Tiantian Xie","Kiyotaka Furushima","",""
2.15,3,"VARIS","Nan Gui","Jouji Nakata","","","REGULA","Lu Zhao","Jurota Kosugi","",""
2.16,3,"THORDAN","Chong Fu","Shinpachi Tsuji","","","ELIDIBUS","Yao Liu","Akira Ishida","",""
2.17,3,"LAHABREA","Yijia Liu","Shuichi Ikeda","","","IGEYORHM","Xiangtong Wu","Ai Orikasa","",""
2.18,2,"HYDAELYN","Yuling Jiang","Masako Ikeda","","","","","","",""
2.19,2,"EDMONT","Wei Wang","Ikuya Sawaki","","","","","","",""
2.20,2,"HAURCHEFANT","Lei Shen","Masakazu Nishida","","","","","","",""
3.0,1,"Title Logo Designer and Image Illustrator","Yoshitaka Amano","","","","","","","",""
3.1,1,"Main Theme Composer","Nobuo Uematsu","","","","","","","",""
3.2,3,"ALPHINAUD","Yan Qian Luo","Shinnosuke Tachibana","","","TATARU","Hai Tian Hong","Mariya Ise","",""
