key,0
#,Quest
int32,Quest
0.0,
1.0,
2.0," 岛上狂奔的河马"
2.1," 新的配送服务"
2.2," 河马也需要治愈"
2.3," 斡兀立化身人趣诸神？！"
2.4," 悌阳象族与魔邪象族"
2.5," 河马骑手团"
3.0,"再度翱翔"
4.0,"鲜血女王的进军"
5.0," 岛上狂奔的河马"
5.1," 新的配送服务"
5.2," 河马也需要治愈"
5.3," 斡兀立化身人趣诸神？！"
5.4," 悌阳象族与魔邪象族"
5.5," 河马骑手团"
6.0,"电脑梦境斯提格玛四"
6.1," 宇宙尽头的咖啡厅"
6.2," 生命、宇宙与咖啡豆"
7.0,"拯救星球的英雄"
7.1,"月球上的“剑”"
7.2,"虚无界的月球"
8.0,"拯救星球的英雄"
8.1,"过去的记录"
8.2,"月球上的“剑”"
8.3,"虚无界的月球"
9.0,"月球上的“剑”"
10.0,"虚无界的月球"
11.0,"大地轰鸣之日"
12.0,"大地轰鸣之日"
12.1,"金曦之遗辉"
13.0,"困惑不解的居民们"
13.1,"蔓生心灵的阴霾"
14.0," 新事业！图拉尔旅行公司"
14.1," 来访！第一位游客"
14.2," 开拓！通往上游水域之路"
14.3," 急聘！旅行公司的新同伴"
14.4," 国宾？！来自外国的游客"
14.5," 我想宣传旅行公司！"
15.0," 玛穆克的希望之种"
15.1," 朵普罗族的绝活"
15.2," 霍比格族归乡"
15.3," 布涅瓦族的术式"
15.4," 亚克特尔树海的新名菜"
15.5," 辉鳞族心爱的故乡"
