key,0,1,2
#,ScreenImage,LogMessage,Name
int32,ScreenImage,LogMessage,DeepDungeonFloorEffectUI
0,"ScreenImage#0","",""
1,"ScreenImage#411","这一<Switch(PlayerParameter(109))><Case(1)>层</Case><Case(2)>层</Case><Case(3)>层</Case><Case(4)>朝圣路</Case></Switch>启动了失明的魔法效果……","魔法效果：失明"
2,"ScreenImage#412","这一<Switch(PlayerParameter(109))><Case(1)>层</Case><Case(2)>层</Case><Case(3)>层</Case><Case(4)>朝圣路</Case></Switch>启动了最大体力降低的魔法效果……","魔法效果：最大体力减少"
3,"ScreenImage#413","这一<Switch(PlayerParameter(109))><Case(1)>层</Case><Case(2)>层</Case><Case(3)>层</Case><Case(4)>朝圣路</Case></Switch>启动了伤害降低的魔法效果……","魔法效果：伤害降低"
4,"ScreenImage#415","这一<Switch(PlayerParameter(109))><Case(1)>层</Case><Case(2)>层</Case><Case(3)>层</Case><Case(4)>朝圣路</Case></Switch>启动了加速的魔法效果……","魔法效果：加速"
5,"ScreenImage#414","这一<Switch(PlayerParameter(109))><Case(1)>层</Case><Case(2)>层</Case><Case(3)>层</Case><Case(4)>朝圣路</Case></Switch>启动了能力封印的魔法效果……","魔法效果：能力封印"
6,"ScreenImage#416","这一<Switch(PlayerParameter(109))><Case(1)>层</Case><Case(2)>层</Case><Case(3)>层</Case><Case(4)>朝圣路</Case></Switch>启动了最大体力魔力上升的魔法效果……","魔法效果：最大体力魔力提升"
7,"ScreenImage#613","这一<Switch(PlayerParameter(109))><Case(1)>层</Case><Case(2)>层</Case><Case(3)>层</Case><Case(4)>朝圣路</Case></Switch>启动了冲刺的魔法效果……","魔法效果：冲刺"
