key,0,1,2,3,4,5,6
#,Size,AquariumWater,WeatherRestriction,TimeRestriction,SpecialConditions,IsCollectable,Item
int32,byte,AquariumWater,byte,byte,byte,byte,Row
0,0,"無効",0,0,0,0,""
1,0,"無効",0,0,0,0,"星里海带"
2,0,"無効",0,0,0,0,"蝲蛄"
3,1,"淡水",0,0,0,0,"鲢鱼"
4,0,"無効",0,0,0,0,"梅尔托尔虾虎"
5,0,"無効",0,0,0,0,"罗敏萨鳀鱼"
6,0,"無効",0,0,0,0,"斑纹虾虎"
7,0,"無効",0,0,0,0,"小鲶鱼"
8,0,"無効",0,0,0,0,"手指虾"
9,0,"無効",0,0,0,0,"骨蝲蛄"
10,0,"無効",0,0,0,0,"白珊瑚"
11,0,"無効",0,0,0,0,"公主鳟"
12,0,"無効",0,0,0,0,"海云水母"
13,0,"無効",0,0,0,0,"幽暗虾虎"
14,0,"無効",0,0,0,0,"藤皮海参"
15,1,"海水",0,0,0,0,"海港鲱"
16,0,"無効",0,0,0,0,"皮皮拉鱼"
17,0,"無効",0,0,0,0,"红蝲蛄"
18,0,"無効",0,0,0,0,"比阿纳可蛤蜊"
19,0,"無効",0,0,0,0,"潜沙鱼"
20,1,"海水",0,0,0,0,"珊瑚蝶"
21,0,"無効",0,0,0,0,"黄铜泥鳅"
22,0,"無効",0,0,0,0,"莫拉比鲽鱼"
23,0,"無効",0,0,0,0,"白妙鲤"
24,0,"無効",0,0,0,0,"阿巴拉提亚公鱼"
25,0,"無効",0,0,0,0,"盲鱼"
26,0,"無効",0,0,0,0,"石软蟹"
27,0,"無効",0,0,0,0,"弹涂鱼"
28,0,"無効",0,0,0,0,"虹鳟鱼"
29,0,"無効",0,0,0,0,"河蟹"
30,1,"海水",0,0,0,0,"虎纹鳕"
31,0,"無効",0,0,0,0,"斗鱼"
32,0,"無効",0,0,0,0,"钢盔鲎"
33,0,"無効",0,0,0,0,"仙女鲈"
34,0,"無効",0,0,0,0,"橡果蜗牛"
