key,0,1,2,3,4,5,6,7,8,9
#,,Image,GridText,,,,,Text,,
int32,int32,Image,str,int32,uint32,byte,byte,uint32,int32,str
0,0,,"",0,0,0,10,0,0,"无"
1,3,,"",12,0,2,10,0,0,"★ 相片"
2,3,,"",22,0,4,10,0,0,"★ 拍立得"
3,3,,"",32,0,6,10,0,0,"★ 电影"
4,3,,"",18,0,100,10,0,0,"★ 浮世绘"
5,3,,"",30,0,101,10,0,0,"★ 上下装饰1"
6,3,,"",31,0,102,10,0,0,"★ 上下装饰2"
7,3,,"",29,0,103,10,0,0,"★ 壁式画框"
8,3,,"",13,0,104,10,0,0,"★ 不规则"
9,0,,"",0,0,0,0,0,0,""
10,0,,"",0,0,0,0,0,0,""
11,0,,"",0,0,0,0,0,0,""
12,0,,"",0,0,0,0,0,0,""
13,0,,"",0,0,0,0,0,0,""
14,0,,"",0,0,0,0,0,0,""
15,0,,"",0,0,0,0,0,0,""
16,0,,"",0,0,0,0,0,0,""
17,1,"ui/icon/230000/230001.tex","",0,0,10,10,0,0,"◆ 简洁1"
18,1,"ui/icon/230000/230002.tex","",0,255,50,10,0,0,"◆ 日记"
19,1,"ui/icon/230000/230003.tex","",0,255,51,10,0,0,"◆ 永结同心"
20,1,"ui/icon/230000/230004.tex","",0,255,52,10,0,0,"◆ 怪物狩猎1"
21,2,,"GroupPoseFrame9grid001",0,255,1,10,0,0,"◆ 相片"
22,2,,"GroupPoseFrame9grid002",0,255,3,10,0,0,"◆ 拍立得"
23,2,,"GroupPoseFrame9grid003",0,255,5,10,0,0,"◆ 电影"
24,1,"ui/icon/230000/230005.tex","",0,255,53,10,0,0,"◆ 怪物狩猎2"
25,1,"ui/icon/230000/230006.tex","",0,2069202175,54,10,0,0,"◆ 九宫幻卡1"
26,1,"ui/icon/230000/230007.tex","",0,2069202175,55,10,0,0,"◆ 九宫幻卡2"
27,1,"ui/icon/230000/230008.tex","",0,255,11,10,0,0,"◆ 简洁2"
28,1,"ui/icon/230000/230011.tex","",0,255,56,10,0,0,"◆ 碧海内墙"
29,1,"ui/icon/230000/230009.tex","",0,255,57,10,0,0,"◆ 密林内墙"
30,1,"ui/icon/230000/230010.tex","",0,255,58,10,0,0,"◆ 黄沙内墙"
31,0,,"",0,0,0,0,0,0,""
32,0,,"",0,0,0,0,0,0,""
33,0,,"",0,0,0,0,0,0,""
34,0,,"",0,0,0,0,0,0,""
35,0,,"",0,0,0,0,0,0,""
