key,0,1,2
#,Category,Question,Confirm
int32,AddonTransient,Row,Addon
0.0,"AddonTransient#102","该道具的效果已经掌握，并且无法交易给其他人。没有购买的必要。",""
0.1,"AddonTransient#103","无法买入商品，背包中已有相同的珍稀道具。",""
0.2,"AddonTransient#104","无法买入商品，背包已满。",""
0.3,"AddonTransient#105","无法买入商品，金币不足。",""
0.4,"AddonTransient#1001","",""
0.5,"AddonTransient#1002","清除了重力块！","用不了也要买"
0.6,"AddonTransient#1003","清除了中重力块！","用不了也要买"
0.7,"AddonTransient#1004","没有更多的章节了。","用不了也要买"
0.8,"AddonTransient#1005","没有“收获”权限。",""
1.0,"AddonTransient#102","该道具的效果已经掌握，并且无法交易给其他人。没有购买的必要。",""
1.1,"AddonTransient#103","无法买入商品，背包中已有相同的珍稀道具。",""
1.2,"AddonTransient#104","无法买入商品，背包已满。",""
1.3,"AddonTransient#105","无法买入商品，金币不足。",""
2.0,"AddonTransient#101","无法进行交换，军衔过低。","二级菜单"
2.1,"AddonTransient#102","该道具的效果已经掌握，并且无法交易给其他人。没有交换的必要。",""
2.2,"AddonTransient#103","无法进行交换，背包中已有相同的珍稀道具。",""
2.3,"AddonTransient#104","无法进行交换，背包已满。","确定要购买吗？
该装备为专用装备，当前角色无法穿戴。"
2.4,"AddonTransient#105","无法进行交换，所持军票不足。",""
2.5,"AddonTransient#1001","清除了地面的重力畸变点！",""
2.6,"AddonTransient#1002","雷电龙头与剧毒龙头做出了激烈的反应！","交换"
2.7,"AddonTransient#1003","五头巨龙深吸了一口气！","交换"
2.8,"AddonTransient#1004","又发现了新的需要机甲处理的目标！","用不了也要换"
2.9,"AddonTransient#1005","得到了风天座奥秘的祝福！",""
3.0,"AddonTransient#102","该道具的效果已经掌握，并且无法交易给其他人。没有交换的必要。",""
3.1,"AddonTransient#103","无法进行交易，该道具只能拥有一个。",""
3.2,"AddonTransient#104","无法进行交易，背包已满。",""
3.3,"AddonTransient#108","无需交换，已习得相同形状的时尚配饰。
和利姆萨·罗敏萨、格里达尼亚、乌尔达哈的失物管理人对话，
可以免费习得面部配饰。",""
3.4,"AddonTransient#105","无法进行交易，<Sheet(Item,IntegerParameter(1),0)/>不足。",""
3.5,"AddonTransient#1001","清除了地面的重力畸变点！","确定要购买已经收录的卡片？"
3.6,"AddonTransient#1002","雷电龙头与剧毒龙头做出了激烈的反应！","交换"
3.7,"AddonTransient#1003","五头巨龙深吸了一口气！","交换"
3.8,"AddonTransient#1004","又发现了新的需要机甲处理的目标！","用不了也要换"
3.9,"AddonTransient#1008","",""
3.10,"AddonTransient#105","无法进行交易，<Sheet(Item,IntegerParameter(1),0)/>不足。",""
4.0,"AddonTransient#102","该道具的效果已经掌握，并且无法交易给其他人。没有领取的必要。",""
4.1,"AddonTransient#103","无法进行领取，背包中已有相同的珍稀道具。",""
4.2,"AddonTransient#104","无法进行领取，背包已满。",""
4.4,"AddonTransient#1001","当前区域存在未共鸣的星内以太之光。",""
4.5,"AddonTransient#1002","限制时间已到，任务结束。","用不了也要领"
4.6,"AddonTransient#1003","追加了新的星内以太之光。
请通过地图确认具体位置！","用不了也要领"
4.7,"AddonTransient#1004","","用不了也要领"
4.8,"AddonTransient#1005","",""
5.0,"AddonTransient#102","该道具的效果已经掌握，并且无法交易给其他人。没有交换的必要。",""
5.1,"AddonTransient#103","无法进行交易，该道具只能拥有一个。",""
5.2,"AddonTransient#104","无法进行交易，背包已满。",""
5.3,"AddonTransient#105","无法进行交易，必要道具不足。","请输入要搜索的道具名或分类名。"
5.4,"AddonTransient#1001","清除了地面的重力畸变点！","确定要购买已经收录的卡片？"
5.5,"AddonTransient#1002","雷电龙头与剧毒龙头做出了激烈的反应！","交换"
5.6,"AddonTransient#1003","五头巨龙深吸了一口气！","交换"
5.7,"AddonTransient#1004","又发现了新的需要机甲处理的目标！","用不了也要换"
5.8,"AddonTransient#1010","未完成特定任务，无法使用任务专用道具。","有了也要换"
6.0,"AddonTransient#102","该道具的效果已经掌握，并且无法交易给其他人。没有交换的必要。",""
6.1,"AddonTransient#104","无法进行交易，背包已满。","确定要购买吗？
该装备为专用装备，当前角色无法穿戴。"
6.2,"AddonTransient#1001","清除了地面的重力畸变点！",""
6.3,"AddonTransient#1002","雷电龙头与剧毒龙头做出了激烈的反应！","交换"
6.4,"AddonTransient#1003","五头巨龙深吸了一口气！","交换"
6.5,"AddonTransient#1004","又发现了新的需要机甲处理的目标！","用不了也要换"
6.6,"AddonTransient#1005","","要用<Sheet(Item,IntegerParameter(1),0)/>交换<Value>IntegerParameter(3)</Value>个<Sheet(Item,IntegerParameter(2),0)/>吗？"
7.0,"AddonTransient#106","无法购买自己的雇员所出售的道具。",""
7.1,"AddonTransient#103","无法买入商品，背包中已有相同的珍稀道具。",""
7.2,"AddonTransient#104","无法买入商品，背包已满。",""
7.3,"AddonTransient#1001","",""
7.4,"AddonTransient#1009","<Highlight>ObjectParameter(55)</Highlight>学会了“<Sheet(Trait,IntegerParameter(1),0)/>”特性。",""
7.5,"AddonTransient#1005","",""
7.6,"AddonTransient#105","无法买入商品，金币不足。",""
7.7,"AddonTransient#1002","清除了重力块！","用不了也要买"
7.8,"AddonTransient#1003","清除了中重力块！","用不了也要买"
7.9,"AddonTransient#1004","没有更多的章节了。","用不了也要买"
8.0,"AddonTransient#102","该道具的效果已经掌握，并且无法交易给其他人。没有交换的必要。",""
8.1,"AddonTransient#103","无法进行交易，该道具只能拥有一个。",""
8.2,"AddonTransient#104","无法进行交易，背包已满。",""
8.3,"AddonTransient#105","无法进行交易，必要道具不足。","请输入要搜索的道具名或分类名。"
8.4,"AddonTransient#1001","清除了地面的重力畸变点！","确定要购买已经收录的卡片？"
8.5,"AddonTransient#1002","雷电龙头与剧毒龙头做出了激烈的反应！","交换"
8.6,"AddonTransient#1003","五头巨龙深吸了一口气！","交换"
8.7,"AddonTransient#1004","又发现了新的需要机甲处理的目标！","用不了也要换"
9.0,"AddonTransient#0","",""
10.0,"AddonTransient#0","",""
11.0,"AddonTransient#105","无法进行交易，必要道具不足。","请输入要搜索的道具名或分类名。"
11.1,"AddonTransient#103","无法进行交易，该道具只能拥有一个。",""
11.2,"AddonTransient#107","无法进行交易，背包已满。",""
11.3,"AddonTransient#1007","<Gui(63)/>和未知生物走散了。请再次与其同行。",""
