key,0,1,2,3,4,5,6
#,,,,Action,,,Guide
int32,byte,byte,byte,Action,byte,uint32,Guide
0,255,255,0,"",0,0,"Guide#0"
1,40,255,1,"钢铁信念",0,0,"Guide#1"
2,40,255,2,"极限技",0,0,"Guide#2"
3,42,255,1,"守护",0,0,"Guide#3"
4,42,255,2,"稳手",0,0,"Guide#4"
5,54,255,1,"深恶痛绝",0,0,"Guide#5"
6,78,255,1,"暗黑波动",0,0,"Guide#6"
7,54,255,2,"魔泉",0,0,"Guide#7"
8,78,255,1,"至黑之夜",0,0,"Guide#8"
9,78,255,1,"掠影示现",0,0,"Guide#9"
10,45,255,2,"反撃効果",0,0,"Guide#10"
11,45,255,2,"加速",0,0,"Guide#11"
12,47,255,1,"以太超流",0,0,"Guide#12"
13,50,255,1,"以太契约",0,0,"Guide#13"
14,50,255,1,"炽天召唤",0,0,"Guide#14"
15,55,255,1,"星极抽卡",0,0,"Guide#40"
16,55,255,1,"小奥秘卡",0,0,"Guide#41"
17,61,255,1,"铁山斗气",0,0,"Guide#42"
18,91,255,1,"双掌打",0,0,"Guide#43"
19,61,255,1,"铁山斗气",0,0,"Guide#44"
20,91,255,2,"",0,0,"Guide#45"
21,61,255,1,"义结金兰",0,0,"Guide#46"
22,58,255,1,"摇荡",0,0,"Guide#29"
23,58,255,2,"平原震裂",0,0,"Guide#30"
24,43,255,1,"武神枪",0,0,"Guide#47"
25,43,255,2,"毁灭",0,0,"Guide#48"
26,43,255,2,"催眠吐息",0,0,"Guide#49"
27,62,255,1,"强甲破点突",0,0,"Guide#50"
28,51,255,2,"召唤",0,0,"Guide#51"
29,57,255,1,"居合术",0,0,"Guide#15"
30,56,255,2,"农夫之智",0,0,"Guide#16"
31,56,255,1,"照破",0,0,"Guide#17"
32,44,255,1,"贤者的叙事谣",0,0,"Guide#18"
33,44,255,1,"军神的赞美歌",0,0,"Guide#19"
34,44,255,1,"放浪神的小步舞曲",0,0,"Guide#20"
35,44,255,2,"回收",0,0,"Guide#21"
36,44,255,2,"水浪吐息",0,0,"Guide#22"
37,52,255,1,"超荷",0,0,"Guide#23"
38,52,255,1,"车式浮空炮塔",2,294,"Guide#24"
39,46,255,1,"火炎",0,0,"Guide#52"
40,46,255,2,"イフリート：着地",0,0,"Guide#53"
41,46,255,2,"敏锐视野III",0,0,"Guide#54"
42,46,255,1,"秽浊",0,0,"Guide#55"
43,46,255,2,"以小钓大",0,0,"Guide#56"
44,46,255,2,"炎獄の楔：死亡",0,0,"Guide#57"
45,46,255,2,"无意",0,0,"Guide#58"
46,103,255,2,"火热",0,0,"Guide#59"
47,49,255,1,"以太蓄能",0,0,"Guide#60"
48,48,255,1,"能量吸收",0,0,"Guide#61"
49,49,255,1,"以太蓄能",0,0,"Guide#62"
50,49,255,2,"蛮勇",0,0,"Guide#63"
51,49,255,2,"猛毒菌",0,0,"Guide#64"
52,49,255,2,"百针刺",0,0,"Guide#65"
53,49,255,3,"复活",0,0,"Guide#66"
54,80,255,1,"标准舞步",0,0,"Guide#25"
55,81,255,2,"内静",0,0,"Guide#26"
56,80,255,1,"技巧舞步",0,0,"Guide#27"
57,81,255,2,"内静",0,0,"Guide#28"
58,79,255,1,"王室亲卫",0,0,"Guide#31"
59,79,255,2,"内静",0,0,"Guide#32"
60,79,255,2,"赋冰",0,0,"Guide#33"
61,87,255,2,"超声波",0,0,"Guide#34"
62,88,87,2,"震击",0,0,"Guide#35"
63,88,255,2,"震击",0,0,"Guide#36"
64,89,255,1,"均衡",0,0,"Guide#37"
65,90,255,2,"轰炸",0,0,"Guide#38"
66,90,255,2,"空翻斩",0,0,"Guide#39"
67,104,255,3,"以太超流",0,0,"Guide#67"
68,104,255,2,"黄沙吐息",0,0,"Guide#68"
69,104,255,2,"剧毒吐息",0,0,"Guide#69"
70,105,255,2,"大地崩裂",0,0,"Guide#70"
71,105,255,2,"沙柱",0,0,"Guide#71"
72,106,255,3,"",0,0,"Guide#72"
73,106,255,3,"终极堡垒",0,0,"Guide#73"
74,107,255,2,"魔导激光",0,0,"Guide#74"
75,106,255,3,"陨石流星",0,0,"Guide#75"
76,107,255,2,"过热",0,0,"Guide#76"
77,107,255,2,"海浪飞扬",0,0,"Guide#77"
78,106,255,3,"极限技",0,0,"Guide#78"
79,0,0,0,"",0,0,"Guide#0"
80,0,0,0,"",0,0,"Guide#0"
