key,0,1,2,3,4,5,6,7
#,JobHudManual[0],JobHudManual[1],JobHudManual[2],JobHudManual[3],JobHudManual[4],JobHudManual[5],JobHudManual[6],JobHudManual[7]
int32,JobHudManual,JobHudManual,JobHudManual,JobHudManual,JobHudManual,JobHudManual,JobHudManual,JobHudManual
0,"","","","","","","",""
1,"钢铁信念","","","","","","",""
2,"双掌打","铁山斗气","","","","","",""
3,"守护","","","","","","",""
4,"火炎","","","","","","",""
5,"能量吸收","以太蓄能","","","","","",""
6,"极限技","","","","","","",""
7,"义结金兰","","铁山斗气","","","","",""
8,"稳手","","","","","","",""
9,"催眠吐息","毁灭","武神枪","","","","",""
10,"水浪吐息","回收","放浪神的小步舞曲","军神的赞美歌","贤者的叙事谣","","",""
11,"加速","反撃効果","","","","","",""
12,"火热","无意","炎獄の楔：死亡","以小钓大","秽浊","敏锐视野III","イフリート：着地",""
13,"复活","百针刺","猛毒菌","蛮勇","以太蓄能","","",""
14,"炽天召唤","以太契约","以太超流","","","","",""
15,"召唤","强甲破点突","","","","","",""
16,"车式浮空炮塔","超荷","","","","","",""
17,"掠影示现","至黑之夜","魔泉","暗黑波动","深恶痛绝","","",""
18,"小奥秘卡","星极抽卡","","","","","",""
19,"照破","农夫之智","居合术","","","","",""
20,"平原震裂","摇荡","","","","","",""
21,"赋冰","内静","王室亲卫","","","","",""
22,"内静","技巧舞步","内静","标准舞步","","","",""
23,"震击","震击","超声波","","","","",""
24,"空翻斩","轰炸","均衡","","","","",""
25,"沙柱","大地崩裂","剧毒吐息","黄沙吐息","以太超流","","",""
26,"极限技","海浪飞扬","过热","陨石流星","魔导激光","终极堡垒","",""
