key,0,1
#,Icon,Name
int32,Image,str
0,,""
1,"ui/icon/062000/062501.tex","佣兵作业"
2,"ui/icon/062000/062510.tex","采矿工"
3,"ui/icon/062000/062511.tex","园艺工"
4,"ui/icon/062000/062512.tex","捕鱼人"
5,"ui/icon/062000/062502.tex","刻木匠"
6,"ui/icon/062000/062503.tex","锻铁匠"
7,"ui/icon/062000/062504.tex","铸甲匠"
8,"ui/icon/062000/062505.tex","雕金匠"
9,"ui/icon/062000/062506.tex","制革匠"
10,"ui/icon/062000/062507.tex","裁衣匠"
11,"ui/icon/062000/062508.tex","炼金术士"
12,"ui/icon/062000/062509.tex","烹调师"
13,"ui/icon/061000/061461.tex","黑涡团"
14,"ui/icon/061000/061462.tex","双蛇党"
15,"ui/icon/061000/061463.tex","恒辉队"
