key,0,1,2,3,4,5,6,7,8,9,10
#,,,Item[0],Item[1],Item[2],Item[3],Item[4],Item[5],Item[6],Item[7],Item[8]
int32,uint32,uint32,Item,Item,Item,Item,Item,Item,Item,Item,Item
0,0,0,"金币","","","","","","","",""
41787,0,0,"","","","","","","","",""
41788,0,0,"","","","","","","","",""
41789,0,0,"","","","","","","","",""
44960,0,0,"","","","","","","","",""
44961,0,0,"","","","","","","","",""
44962,0,0,"","","","","","","","",""
44963,0,0,"","","","","","","","",""
44964,0,0,"","","","","","","","",""
44965,0,0,"","","","","","","","",""
44966,0,0,"","","","","","","","",""
44967,0,0,"","","","","","","","",""
44968,0,0,"","","","","","","","",""
44969,0,0,"","","","","","","","",""
45094,0,0,"梦幻帽","梦幻装","","","梦幻靴","","","",""
45095,0,0,"驯鹿角","驯鹿装","","","","","","",""
45096,0,0,"","","","","","","","",""
45097,0,0,"","","","","","","","",""
45098,0,0,"","","","","","","","",""
45099,0,0,"","","","","","","","",""
45100,0,0,"","","","","","","","",""
45101,0,0,"","","","","","","","",""
45102,0,0,"","火红男式夏衣","","火红男式夏裤","","","","",""
45103,0,0,"","翠绿男式夏衣","","翠绿男式夏裤","","","","",""
45104,0,0,"","蔚蓝男式夏衣","","蔚蓝男式夏裤","","","","",""
45105,0,0,"","金阳男式夏衣","","金阳男式夏裤","","","","",""
45106,0,0,"","银月男式夏衣","","银月男式夏裤","","","","",""
45107,0,0,"","火红女式夏衣","","火红女式夏裤","","","","",""
45108,0,0,"","翠绿女式夏衣","","翠绿女式夏裤","","","","",""
45109,0,0,"","蔚蓝女式夏衣","","蔚蓝女式夏裤","","","","",""
45110,0,0,"","金阳女式夏衣","","金阳女式夏裤","","","","",""
45111,0,0,"","银月女式夏衣","","银月女式夏裤","","","","",""
45112,0,0,"部队帽","部队罩衣","","","","","","",""
45113,0,0,"","夜暮男式夏衣","","夜暮男式夏裤","","","","",""
45114,0,0,"","条纹男式夏衣","","条纹男式夏裤","","","","",""
45115,0,0,"","晨曦女式夏衣","","晨曦女式夏裤","","","","",""
45116,0,0,"","条纹女式夏衣","","条纹女式夏裤","","","","",""
