key,0,1,2,3,4,5,6,7
#,,Image,Target,UnlockQuest,AcceptMessage,DenyMessage,,
int32,str,Image,Row,Quest,DefaultTalk,DefaultTalk,byte,byte
3538944,"",,,,,,0,0
3538945,"",,,,,,0,0
3538946,"",,"购买道具（木材、金属、石材、骨材、皮革）",,,,1,0
3538947,"",,"购买道具（布料、炼金原料）",,,,1,0
3538948,"",,"购买道具（食材）",,,,1,0
3538949,"",,"购买道具（苗圃、染料）",,,,1,0
3538950,"",,"购买道具（触媒）",,,,1,0
3538951,"",,"购买道具",,,,1,0
3538952,"",,"购买道具（室内建材）",,,,1,0
3538953,"",,"购买道具（床椅）",,,,1,0
3538954,"",,"购买道具（桌台、菜肴）",,,,1,0
3538955,"",,"购买道具（柜子、地毯、灯具）",,,,1,0
3538956,"",,"购买道具（其他）",,,,1,0
3538957,"",,"购买武器",,,,1,0
3538958,"",,"购买工具",,,,1,0
3538959,"",,"购买战斗精英防具",,,,1,0
3538960,"",,"购买魔法导师防具",,,,1,0
3538961,"",,"购买能工巧匠及大地使者防具",,,,1,0
3538962,"",,"购买战斗饰品",,,,1,0
3538963,"",,"购买道具",,,,1,0
3538964,"",,"多玛方城战解说",,,,1,0
3538965,"",,"",,,,2,0
3538966,"",,"购买道具",,,,5,0
3538967,"",,"购买战斗饰品",,,,5,0
3538968,"",,"购买能工巧匠及大地使者饰品",,,,5,0
3538969,"",,"购买防具（62级）",,,,5,0
3538970,"",,"购买防具（64级）",,,,5,0
3538971,"",,"购买武器（62级）",,,,5,0
3538972,"",,"购买武器（64级）",,,,5,0
3538973,"",,"购买武器（66级）",,,,5,0
3538974,"",,"购买武器（68级）",,,,5,0
3538975,"",,"购买武器（70级）",,,,5,0
3538976,"",,"购买防具（66级）",,,,5,0
3538977,"",,"购买防具（68级）",,,,5,0
3538978,"",,"购买防具（70级）",,,,5,0
3538979,"",,"购买防具（62级）",,,,5,0
3538980,"",,"购买防具（64级）",,,,5,0
3538981,"",,"购买防具（66级）",,,,5,0
3538982,"",,"购买防具（68级）",,,,5,0
3538983,"",,"购买防具（70级）",,,,5,0
3538984,"",,"购买道具（隔离墙、墙面装饰）",,,,1,0
3538985,"",,"购买武器",,,,6,0
3538986,"",,"购买工具",,,,6,0
3538987,"",,"购买战斗精英防具",,,,6,0
3538988,"",,"购买魔法导师防具",,,,6,0
3538989,"",,"购买能工巧匠及大地使者防具",,,,6,0
3538990,"",,"购买战斗饰品",,,,6,0
3538991,"",,"购买道具",,,,6,0
3538992,"",,"购买道具",,,,6,0
3538993,"",,"购买道具",,,,4,0
3538994,"",,"",,,,3,0
3538995,"",,"关于房屋",,,,3,0
3538996,"",,"","一流工匠的新工作",,"DefaultTalk#594673",1,0
3538997,"",,"","一流工匠的新工作",,"DefaultTalk#594674",1,0
3538998,"",,"","一流工匠的新工作",,"DefaultTalk#594675",1,0
3538999,"",,"","一流工匠的新工作",,"DefaultTalk#594670",1,0
3539000,"",,"","打开新世界的大门",,"DefaultTalk#594671",1,0
3539001,"",,"","生意兴隆",,"DefaultTalk#594672",1,0
