key,0,1,2,3,4,5,6
#,,,,PlaceName,Image,,
int32,byte,byte,byte,PlaceName,Image,uint16,byte
0,10,11,12,"红玉海","ui/icon/070000/070222.tex",60,2
1,13,14,15,"延夏","ui/icon/070000/070224.tex",60,3
2,16,17,18,"太阳神草原","ui/icon/070000/070228.tex",65,4
3,19,20,21,"基拉巴尼亚湖区","ui/icon/070000/070226.tex",65,5
4,22,23,24,"诺弗兰特","ui/icon/070000/070230.tex",65,6
5,25,26,27,"萨维奈岛","ui/icon/070000/070232.tex",80,7
6,29,30,31,"拉诺西亚","ui/icon/070000/070234.tex",85,1
7,32,33,34,"奥阔帕恰山","ui/icon/070000/070236.tex",90,8
8,35,36,37,"克扎玛乌卡湿地","ui/icon/070000/070238.tex",90,9
9,38,39,40,"亚克特尔树海","ui/icon/070000/070240.tex",90,10
10,41,42,43,"夏劳尼荒野","ui/icon/070000/070242.tex",95,11
